siteid,date,pub_hol,sch_hol,hr,nobs,state
6588,2014-12-24,NA,1,14,28,Vic
6588,2014-12-24,NA,1,15,113,Vic
6588,2014-12-24,NA,1,16,82,Vic
6588,2014-12-24,NA,1,17,64,Vic
6588,2014-12-24,NA,1,18,37,Vic
6588,2014-12-24,NA,1,19,32,Vic
6588,2014-12-24,NA,1,20,19,Vic
6588,2014-12-24,NA,1,21,7,Vic
6588,2014-12-24,NA,1,22,21,Vic
6588,2014-12-24,NA,1,23,11,Vic
6588,2014-12-25,NA,1,0,9,Vic
6588,2014-12-25,NA,1,1,6,Vic
6588,2014-12-25,NA,1,2,6,Vic
6588,2014-12-25,NA,1,3,2,Vic
6588,2014-12-25,NA,1,4,1,Vic
6588,2014-12-25,NA,1,6,3,Vic
6588,2014-12-25,NA,1,7,4,Vic
6588,2014-12-25,NA,1,8,16,Vic
6588,2014-12-25,NA,1,9,13,Vic
6588,2014-12-25,NA,1,10,19,Vic
6588,2014-12-25,NA,1,11,17,Vic
6588,2014-12-25,NA,1,12,28,Vic
6588,2014-12-25,NA,1,13,17,Vic
6588,2014-12-25,NA,1,14,5,Vic
6588,2014-12-25,NA,1,15,17,Vic
6588,2014-12-25,NA,1,16,16,Vic
6588,2014-12-25,NA,1,17,16,Vic
6588,2014-12-25,NA,1,18,13,Vic
6588,2014-12-25,NA,1,19,25,Vic
6588,2014-12-25,NA,1,20,8,Vic
6588,2014-12-25,NA,1,21,11,Vic
6588,2014-12-25,NA,1,22,7,Vic
6588,2014-12-25,NA,1,23,7,Vic
6588,2014-12-26,NA,1,0,14,Vic
6588,2014-12-26,NA,1,1,2,Vic
6588,2014-12-26,NA,1,2,2,Vic
6588,2014-12-26,NA,1,3,3,Vic
6588,2014-12-26,NA,1,4,1,Vic
6588,2014-12-26,NA,1,5,2,Vic
6588,2014-12-26,NA,1,6,9,Vic
6588,2014-12-26,NA,1,7,17,Vic
6588,2014-12-26,NA,1,8,14,Vic
6588,2014-12-26,NA,1,9,20,Vic
6588,2014-12-26,NA,1,10,28,Vic
6588,2014-12-26,NA,1,11,24,Vic
6588,2014-12-26,NA,1,12,40,Vic
6588,2014-12-26,NA,1,13,46,Vic
6588,2014-12-26,NA,1,14,34,Vic
6588,2014-12-26,NA,1,15,40,Vic
6588,2014-12-26,NA,1,16,59,Vic
6588,2014-12-26,NA,1,17,54,Vic
6588,2014-12-26,NA,1,18,49,Vic
6588,2014-12-26,NA,1,19,32,Vic
6588,2014-12-26,NA,1,20,26,Vic
6588,2014-12-26,NA,1,21,26,Vic
6588,2014-12-26,NA,1,22,10,Vic
6588,2014-12-26,NA,1,23,12,Vic
6588,2014-12-27,NA,1,0,13,Vic
6588,2014-12-27,NA,1,1,1,Vic
6588,2014-12-27,NA,1,2,1,Vic
6588,2014-12-27,NA,1,3,1,Vic
6588,2014-12-27,NA,1,4,3,Vic
6588,2014-12-27,NA,1,5,5,Vic
6588,2014-12-27,NA,1,6,6,Vic
6588,2014-12-27,NA,1,7,22,Vic
6588,2014-12-27,NA,1,8,26,Vic
6588,2014-12-27,NA,1,9,60,Vic
6588,2014-12-27,NA,1,10,50,Vic
6588,2014-12-27,NA,1,11,59,Vic
6588,2014-12-27,NA,1,12,49,Vic
6588,2014-12-27,NA,1,13,52,Vic
6588,2014-12-27,NA,1,14,69,Vic
6588,2014-12-27,NA,1,15,54,Vic
6588,2014-12-27,NA,1,16,64,Vic
6588,2014-12-27,NA,1,17,43,Vic
6588,2014-12-27,NA,1,18,53,Vic
6588,2014-12-27,NA,1,19,31,Vic
6588,2014-12-27,NA,1,20,22,Vic
6588,2014-12-27,NA,1,21,23,Vic
6588,2014-12-27,NA,1,22,26,Vic
6588,2014-12-27,NA,1,23,12,Vic
6588,2014-12-28,NA,1,0,13,Vic
6588,2014-12-28,NA,1,1,9,Vic
6588,2014-12-28,NA,1,2,6,Vic
6588,2014-12-28,NA,1,3,6,Vic
6588,2014-12-28,NA,1,4,9,Vic
6588,2014-12-28,NA,1,5,5,Vic
6588,2014-12-28,NA,1,6,9,Vic
6588,2014-12-28,NA,1,7,18,Vic
6588,2014-12-28,NA,1,8,20,Vic
6588,2014-12-28,NA,1,9,51,Vic
6588,2014-12-28,NA,1,10,46,Vic
6588,2014-12-28,NA,1,11,54,Vic
6588,2014-12-28,NA,1,12,50,Vic
6588,2014-12-28,NA,1,13,39,Vic
6588,2014-12-28,NA,1,14,37,Vic
6588,2014-12-28,NA,1,15,37,Vic
6588,2014-12-28,NA,1,16,43,Vic
6588,2014-12-28,NA,1,17,56,Vic
6588,2014-12-28,NA,1,18,70,Vic
6588,2014-12-28,NA,1,19,29,Vic
6588,2014-12-28,NA,1,20,33,Vic
6588,2014-12-28,NA,1,21,39,Vic
6588,2014-12-28,NA,1,22,31,Vic
6588,2014-12-28,NA,1,23,11,Vic
6588,2014-12-29,NA,1,0,16,Vic
6588,2014-12-29,NA,1,1,8,Vic
6588,2014-12-29,NA,1,2,2,Vic
6588,2014-12-29,NA,1,3,1,Vic
6588,2014-12-29,NA,1,4,1,Vic
6588,2014-12-29,NA,1,5,3,Vic
6588,2014-12-29,NA,1,6,16,Vic
6588,2014-12-29,NA,1,7,65,Vic
6588,2014-12-29,NA,1,8,98,Vic
6588,2014-12-29,NA,1,9,60,Vic
6588,2014-12-29,NA,1,10,52,Vic
6588,2014-12-29,NA,1,11,44,Vic
6588,2014-12-29,NA,1,12,36,Vic
6588,2014-12-29,NA,1,13,18,Vic
6588,2014-12-29,NA,1,14,32,Vic
6588,2014-12-29,NA,1,15,32,Vic
6588,2014-12-29,NA,1,16,70,Vic
6588,2014-12-29,NA,1,17,119,Vic
6588,2014-12-29,NA,1,18,72,Vic
6588,2014-12-29,NA,1,19,42,Vic
6588,2014-12-29,NA,1,20,20,Vic
6588,2014-12-29,NA,1,21,25,Vic
6588,2014-12-29,NA,1,22,15,Vic
6588,2014-12-29,NA,1,23,14,Vic
6588,2014-12-30,NA,1,0,6,Vic
6588,2014-12-30,NA,1,1,1,Vic
6588,2014-12-30,NA,1,2,1,Vic
6588,2014-12-30,NA,1,4,1,Vic
6588,2014-12-30,NA,1,5,2,Vic
6588,2014-12-30,NA,1,6,13,Vic
6588,2014-12-30,NA,1,7,49,Vic
6588,2014-12-30,NA,1,8,104,Vic
6588,2014-12-30,NA,1,9,60,Vic
6588,2014-12-30,NA,1,10,40,Vic
6588,2014-12-30,NA,1,11,35,Vic
6588,2014-12-30,NA,1,12,41,Vic
6588,2014-12-30,NA,1,13,33,Vic
6588,2014-12-30,NA,1,14,39,Vic
6588,2014-12-30,NA,1,15,69,Vic
6588,2014-12-30,NA,1,16,81,Vic
6588,2014-12-30,NA,1,17,125,Vic
6588,2014-12-30,NA,1,18,96,Vic
6588,2014-12-30,NA,1,19,53,Vic
6588,2014-12-30,NA,1,20,32,Vic
6588,2014-12-30,NA,1,21,22,Vic
6588,2014-12-30,NA,1,22,16,Vic
6588,2014-12-30,NA,1,23,17,Vic
6588,2014-12-31,NA,1,0,7,Vic
6588,2014-12-31,NA,1,1,4,Vic
6588,2014-12-31,NA,1,2,3,Vic
6588,2014-12-31,NA,1,3,4,Vic
6588,2014-12-31,NA,1,5,3,Vic
6588,2014-12-31,NA,1,6,14,Vic
6588,2014-12-31,NA,1,7,47,Vic
6588,2014-12-31,NA,1,8,92,Vic
6588,2014-12-31,NA,1,9,57,Vic
6588,2014-12-31,NA,1,10,46,Vic
6588,2014-12-31,NA,1,11,53,Vic
6588,2014-12-31,NA,1,12,44,Vic
6588,2014-12-31,NA,1,13,65,Vic
6588,2014-12-31,NA,1,14,73,Vic
6588,2014-12-31,NA,1,15,75,Vic
6588,2014-12-31,NA,1,16,83,Vic
6588,2014-12-31,NA,1,17,76,Vic
6588,2014-12-31,NA,1,18,55,Vic
6588,2014-12-31,NA,1,19,31,Vic
6588,2014-12-31,NA,1,20,26,Vic
6588,2014-12-31,NA,1,21,27,Vic
6588,2014-12-31,NA,1,22,24,Vic
6588,2014-12-31,NA,1,23,16,Vic
