siteid,date,pub_hol,sch_hol,hr,nobs,state
7811,2017-01-01,1,1,0,3,WA
7811,2017-01-01,1,1,2,1,WA
7811,2017-01-01,1,1,3,1,WA
7811,2017-01-01,1,1,4,2,WA
7811,2017-01-01,1,1,5,11,WA
7811,2017-01-01,1,1,6,55,WA
7811,2017-01-01,1,1,7,97,WA
7811,2017-01-01,1,1,8,119,WA
7811,2017-01-01,1,1,9,102,WA
7811,2017-01-01,1,1,10,95,WA
7811,2017-01-01,1,1,11,93,WA
7811,2017-01-01,1,1,12,81,WA
7811,2017-01-01,1,1,13,41,WA
7811,2017-01-01,1,1,14,41,WA
7811,2017-01-01,1,1,15,38,WA
7811,2017-01-01,1,1,16,32,WA
7811,2017-01-01,1,1,17,27,WA
7811,2017-01-01,1,1,18,29,WA
7811,2017-01-01,1,1,19,8,WA
7811,2017-01-01,1,1,20,3,WA
7811,2017-01-01,1,1,21,2,WA
7811,2017-01-01,1,1,22,4,WA
7811,2017-01-01,1,1,23,2,WA
7811,2017-01-02,1,1,0,1,WA
7811,2017-01-02,1,1,1,2,WA
7811,2017-01-02,1,1,3,1,WA
7811,2017-01-02,1,1,4,3,WA
7811,2017-01-02,1,1,5,22,WA
7811,2017-01-02,1,1,6,144,WA
7811,2017-01-02,1,1,7,206,WA
7811,2017-01-02,1,1,8,224,WA
7811,2017-01-02,1,1,9,128,WA
7811,2017-01-02,1,1,10,69,WA
7811,2017-01-02,1,1,11,51,WA
7811,2017-01-02,1,1,12,14,WA
7811,2017-01-02,1,1,13,18,WA
7811,2017-01-02,1,1,14,21,WA
7811,2017-01-02,1,1,15,24,WA
7811,2017-01-02,1,1,16,20,WA
7811,2017-01-02,1,1,17,34,WA
7811,2017-01-02,1,1,18,30,WA
7811,2017-01-02,1,1,19,21,WA
7811,2017-01-02,1,1,20,9,WA
7811,2017-01-02,1,1,21,9,WA
7811,2017-01-02,1,1,22,7,WA
7811,2017-01-02,1,1,23,2,WA
7811,2017-01-03,NA,1,0,1,WA
7811,2017-01-03,NA,1,1,4,WA
7811,2017-01-03,NA,1,2,2,WA
7811,2017-01-03,NA,1,4,5,WA
7811,2017-01-03,NA,1,5,56,WA
7811,2017-01-03,NA,1,6,176,WA
7811,2017-01-03,NA,1,7,239,WA
7811,2017-01-03,NA,1,8,128,WA
7811,2017-01-03,NA,1,9,46,WA
7811,2017-01-03,NA,1,10,22,WA
7811,2017-01-03,NA,1,11,18,WA
7811,2017-01-03,NA,1,12,15,WA
7811,2017-01-03,NA,1,13,17,WA
7811,2017-01-03,NA,1,14,13,WA
7811,2017-01-03,NA,1,15,14,WA
7811,2017-01-03,NA,1,16,40,WA
7811,2017-01-03,NA,1,17,73,WA
7811,2017-01-03,NA,1,18,53,WA
7811,2017-01-03,NA,1,19,26,WA
7811,2017-01-03,NA,1,20,4,WA
7811,2017-01-03,NA,1,21,3,WA
7811,2017-01-03,NA,1,22,2,WA
7811,2017-01-03,NA,1,23,7,WA
7811,2017-01-04,NA,1,0,4,WA
