siteid,date,pub_hol,sch_hol,hr,nobs,state
99991,2016-01-01,1,1,0,13,Vic
99991,2016-01-01,1,1,1,1,Vic
99991,2016-01-01,1,1,2,2,Vic
99991,2016-01-01,1,1,3,4,Vic
99991,2016-01-01,1,1,5,4,Vic
99991,2016-01-01,1,1,6,7,Vic
99991,2016-01-01,1,1,7,15,Vic
99991,2016-01-01,1,1,8,17,Vic
99991,2016-01-01,1,1,9,21,Vic
99991,2016-01-01,1,1,10,16,Vic
99991,2016-01-01,1,1,11,41,Vic
99991,2016-01-01,1,1,12,33,Vic
99991,2016-01-01,1,1,13,18,Vic
99991,2016-01-01,1,1,14,18,Vic
99991,2016-01-01,1,1,15,16,Vic
99991,2016-01-01,1,1,16,32,Vic
99991,2016-01-01,1,1,17,31,Vic
99991,2016-01-01,1,1,18,27,Vic
99991,2016-01-01,1,1,19,13,Vic
99991,2016-01-01,1,1,20,13,Vic
99991,2016-01-01,1,1,21,20,Vic
99991,2016-01-01,1,1,22,4,Vic
99991,2016-01-01,1,1,23,3,Vic
99991,2016-01-02,NA,1,0,3,Vic
99991,2016-01-02,NA,1,1,1,Vic
99991,2016-01-02,NA,1,2,1,Vic
99991,2016-01-02,NA,1,4,1,Vic
99991,2016-01-02,NA,1,5,3,Vic
99991,2016-01-02,NA,1,6,7,Vic
99991,2016-01-02,NA,1,7,20,Vic
99991,2016-01-02,NA,1,8,46,Vic
99991,2016-01-02,NA,1,9,61,Vic
99991,2016-01-02,NA,1,10,52,Vic
99991,2016-01-02,NA,1,11,37,Vic
99991,2016-01-02,NA,1,12,36,Vic
99991,2016-01-02,NA,1,13,53,Vic
99991,2016-01-02,NA,1,14,41,Vic
99991,2016-01-02,NA,1,15,39,Vic
99991,2016-01-02,NA,1,16,27,Vic
99991,2016-01-02,NA,1,17,26,Vic
99991,2016-01-02,NA,1,18,33,Vic
99991,2016-01-02,NA,1,19,21,Vic
99991,2016-01-02,NA,1,20,10,Vic
99991,2016-01-02,NA,1,21,6,Vic
99991,2016-01-02,NA,1,22,15,Vic
99991,2016-01-02,NA,1,23,7,Vic
99991,2016-01-03,NA,1,0,4,Vic
99991,2016-01-03,NA,1,1,1,Vic
99991,2016-01-03,NA,1,2,1,Vic
99991,2016-01-03,NA,1,4,2,Vic
99991,2016-01-03,NA,1,5,5,Vic
99991,2016-01-03,NA,1,6,8,Vic
99991,2016-01-03,NA,1,7,14,Vic
99991,2016-01-03,NA,1,8,31,Vic
99991,2016-01-03,NA,1,9,59,Vic
99991,2016-01-03,NA,1,10,36,Vic
99991,2016-01-03,NA,1,11,48,Vic
99991,2016-01-03,NA,1,12,45,Vic
99991,2016-01-03,NA,1,13,37,Vic
99991,2016-01-03,NA,1,14,32,Vic
99991,2016-01-03,NA,1,15,30,Vic
99991,2016-01-03,NA,1,16,40,Vic
99991,2016-01-03,NA,1,17,50,Vic
99991,2016-01-03,NA,1,18,20,Vic
99991,2016-01-03,NA,1,19,15,Vic
99991,2016-01-03,NA,1,20,11,Vic
99991,2016-01-03,NA,1,21,7,Vic
