siteid,date,pub_hol,sch_hol,hr,nobs,state
51468,2015-01-01,1,1,0,85,WA
51468,2015-01-01,1,1,1,9,WA
51468,2015-01-01,1,1,2,4,WA
51468,2015-01-01,1,1,4,1,WA
51468,2015-01-01,1,1,5,6,WA
51468,2015-01-01,1,1,6,35,WA
51468,2015-01-01,1,1,7,49,WA
51468,2015-01-01,1,1,8,67,WA
51468,2015-01-01,1,1,9,120,WA
51468,2015-01-01,1,1,10,111,WA
51468,2015-01-01,1,1,11,69,WA
51468,2015-01-01,1,1,12,68,WA
51468,2015-01-01,1,1,13,66,WA
51468,2015-01-01,1,1,14,45,WA
51468,2015-01-01,1,1,15,57,WA
51468,2015-01-01,1,1,16,59,WA
51468,2015-01-01,1,1,17,67,WA
51468,2015-01-01,1,1,18,70,WA
51468,2015-01-01,1,1,19,39,WA
51468,2015-01-01,1,1,20,20,WA
51468,2015-01-01,1,1,21,4,WA
51468,2015-01-01,1,1,22,2,WA
51468,2015-01-01,1,1,23,1,WA
51468,2015-01-02,NA,1,0,1,WA
51468,2015-01-02,NA,1,1,2,WA
51468,2015-01-02,NA,1,4,1,WA
51468,2015-01-02,NA,1,5,16,WA
51468,2015-01-02,NA,1,6,51,WA
51468,2015-01-02,NA,1,7,98,WA
51468,2015-01-02,NA,1,8,108,WA
51468,2015-01-02,NA,1,9,132,WA
51468,2015-01-02,NA,1,10,115,WA
51468,2015-01-02,NA,1,11,159,WA
51468,2015-01-02,NA,1,12,87,WA
51468,2015-01-02,NA,1,13,96,WA
51468,2015-01-02,NA,1,14,73,WA
51468,2015-01-02,NA,1,15,59,WA
51468,2015-01-02,NA,1,16,62,WA
51468,2015-01-02,NA,1,17,109,WA
51468,2015-01-02,NA,1,18,39,WA
51468,2015-01-02,NA,1,19,48,WA
51468,2015-01-02,NA,1,20,3,WA
51468,2015-01-02,NA,1,21,6,WA
51468,2015-01-02,NA,1,22,10,WA
51468,2015-01-02,NA,1,23,5,WA
51468,2015-01-03,NA,1,0,1,WA
51468,2015-01-03,NA,1,2,1,WA
51468,2015-01-03,NA,1,4,3,WA
51468,2015-01-03,NA,1,5,14,WA
51468,2015-01-03,NA,1,6,73,WA
51468,2015-01-03,NA,1,7,112,WA
51468,2015-01-03,NA,1,8,143,WA
51468,2015-01-03,NA,1,9,163,WA
51468,2015-01-03,NA,1,10,131,WA
51468,2015-01-03,NA,1,11,159,WA
51468,2015-01-03,NA,1,12,59,WA
51468,2015-01-03,NA,1,13,65,WA
51468,2015-01-03,NA,1,14,61,WA
51468,2015-01-03,NA,1,15,54,WA
51468,2015-01-03,NA,1,16,75,WA
51468,2015-01-03,NA,1,17,72,WA
51468,2015-01-03,NA,1,18,62,WA
51468,2015-01-03,NA,1,19,55,WA
