siteid,date,pub_hol,sch_hol,hr,nobs,state
32614,2017-05-01,NA,NA,9,6,Vic
32614,2017-05-01,NA,NA,10,24,Vic
32614,2017-05-01,NA,NA,11,16,Vic
32614,2017-05-01,NA,NA,12,17,Vic
32614,2017-05-01,NA,NA,13,16,Vic
32614,2017-05-01,NA,NA,14,20,Vic
32614,2017-05-01,NA,NA,15,9,Vic
32614,2017-05-01,NA,NA,16,21,Vic
32614,2017-05-01,NA,NA,17,50,Vic
32614,2017-05-01,NA,NA,18,41,Vic
32614,2017-05-01,NA,NA,19,16,Vic
32614,2017-05-01,NA,NA,21,1,Vic
32614,2017-05-02,NA,NA,5,7,Vic
32614,2017-05-02,NA,NA,6,20,Vic
32614,2017-05-02,NA,NA,7,81,Vic
32614,2017-05-02,NA,NA,8,75,Vic
32614,2017-05-02,NA,NA,9,36,Vic
32614,2017-05-02,NA,NA,10,20,Vic
32614,2017-05-02,NA,NA,11,25,Vic
32614,2017-05-02,NA,NA,12,17,Vic
32614,2017-05-02,NA,NA,13,20,Vic
32614,2017-05-02,NA,NA,14,15,Vic
32614,2017-05-02,NA,NA,15,17,Vic
32614,2017-05-02,NA,NA,16,16,Vic
32614,2017-05-02,NA,NA,17,35,Vic
32614,2017-05-02,NA,NA,18,63,Vic
32614,2017-05-02,NA,NA,19,33,Vic
32614,2017-05-02,NA,NA,20,1,Vic
32614,2017-05-02,NA,NA,21,1,Vic
32614,2017-05-02,NA,NA,22,1,Vic
32614,2017-05-03,NA,NA,5,6,Vic
32614,2017-05-03,NA,NA,6,20,Vic
32614,2017-05-03,NA,NA,7,89,Vic
32614,2017-05-03,NA,NA,8,82,Vic
32614,2017-05-03,NA,NA,9,27,Vic
32614,2017-05-03,NA,NA,10,39,Vic
32614,2017-05-03,NA,NA,11,19,Vic
32614,2017-05-03,NA,NA,12,33,Vic
32614,2017-05-03,NA,NA,13,12,Vic
32614,2017-05-03,NA,NA,14,9,Vic
32614,2017-05-03,NA,NA,15,17,Vic
32614,2017-05-03,NA,NA,16,25,Vic
32614,2017-05-03,NA,NA,17,46,Vic
32614,2017-05-03,NA,NA,18,53,Vic
32614,2017-05-03,NA,NA,19,21,Vic
32614,2017-05-03,NA,NA,20,7,Vic
32614,2017-05-03,NA,NA,21,1,Vic
32614,2017-05-03,NA,NA,22,1,Vic
32614,2017-05-03,NA,NA,23,3,Vic
32614,2017-05-04,NA,NA,0,2,Vic
32614,2017-05-04,NA,NA,5,2,Vic
32614,2017-05-04,NA,NA,6,18,Vic
32614,2017-05-04,NA,NA,7,68,Vic
32614,2017-05-04,NA,NA,8,82,Vic
32614,2017-05-04,NA,NA,9,48,Vic
32614,2017-05-04,NA,NA,10,32,Vic
32614,2017-05-04,NA,NA,11,22,Vic
32614,2017-05-04,NA,NA,12,17,Vic
32614,2017-05-04,NA,NA,13,21,Vic
32614,2017-05-04,NA,NA,14,21,Vic
32614,2017-05-04,NA,NA,15,16,Vic
32614,2017-05-04,NA,NA,16,37,Vic
32614,2017-05-04,NA,NA,17,37,Vic
32614,2017-05-04,NA,NA,18,48,Vic
32614,2017-05-04,NA,NA,19,15,Vic
32614,2017-05-04,NA,NA,20,6,Vic
32614,2017-05-04,NA,NA,21,2,Vic
32614,2017-05-04,NA,NA,23,1,Vic
32614,2017-05-05,NA,NA,3,1,Vic
32614,2017-05-05,NA,NA,4,1,Vic
32614,2017-05-05,NA,NA,5,1,Vic
32614,2017-05-05,NA,NA,6,10,Vic
32614,2017-05-05,NA,NA,7,67,Vic
32614,2017-05-05,NA,NA,8,69,Vic
32614,2017-05-05,NA,NA,9,70,Vic
32614,2017-05-05,NA,NA,10,32,Vic
32614,2017-05-05,NA,NA,11,33,Vic
32614,2017-05-05,NA,NA,12,21,Vic
32614,2017-05-05,NA,NA,13,14,Vic
32614,2017-05-05,NA,NA,14,20,Vic
32614,2017-05-05,NA,NA,15,19,Vic
32614,2017-05-05,NA,NA,16,31,Vic
32614,2017-05-05,NA,NA,17,47,Vic
32614,2017-05-05,NA,NA,18,36,Vic
32614,2017-05-05,NA,NA,19,10,Vic
32614,2017-05-05,NA,NA,20,1,Vic
32614,2017-05-05,NA,NA,21,2,Vic
32614,2017-05-05,NA,NA,22,1,Vic
32614,2017-05-05,NA,NA,23,4,Vic
32614,2017-05-06,NA,NA,2,2,Vic
32614,2017-05-06,NA,NA,4,1,Vic
32614,2017-05-06,NA,NA,5,2,Vic
32614,2017-05-06,NA,NA,6,10,Vic
32614,2017-05-06,NA,NA,7,24,Vic
32614,2017-05-06,NA,NA,8,34,Vic
32614,2017-05-06,NA,NA,9,37,Vic
32614,2017-05-06,NA,NA,10,39,Vic
32614,2017-05-06,NA,NA,11,34,Vic
32614,2017-05-06,NA,NA,12,28,Vic
32614,2017-05-06,NA,NA,13,21,Vic
32614,2017-05-06,NA,NA,14,4,Vic
32614,2017-05-06,NA,NA,15,11,Vic
32614,2017-05-06,NA,NA,16,5,Vic
32614,2017-05-06,NA,NA,17,10,Vic
32614,2017-05-06,NA,NA,18,1,Vic
32614,2017-05-06,NA,NA,19,1,Vic
32614,2017-05-07,NA,NA,7,10,Vic
32614,2017-05-07,NA,NA,8,38,Vic
32614,2017-05-07,NA,NA,9,38,Vic
32614,2017-05-07,NA,NA,10,63,Vic
32614,2017-05-07,NA,NA,11,42,Vic
32614,2017-05-07,NA,NA,12,24,Vic
32614,2017-05-07,NA,NA,13,10,Vic
32614,2017-05-07,NA,NA,14,22,Vic
32614,2017-05-07,NA,NA,15,21,Vic
32614,2017-05-07,NA,NA,16,20,Vic
32614,2017-05-07,NA,NA,17,20,Vic
32614,2017-05-07,NA,NA,18,7,Vic
32614,2017-05-07,NA,NA,20,2,Vic
32614,2017-05-07,NA,NA,21,1,Vic
32614,2017-05-08,NA,NA,3,1,Vic
32614,2017-05-08,NA,NA,4,1,Vic
32614,2017-05-08,NA,NA,5,2,Vic
32614,2017-05-08,NA,NA,6,20,Vic
32614,2017-05-08,NA,NA,7,57,Vic
32614,2017-05-08,NA,NA,8,58,Vic
32614,2017-05-08,NA,NA,9,22,Vic
32614,2017-05-08,NA,NA,10,7,Vic
32614,2017-05-08,NA,NA,11,18,Vic
32614,2017-05-08,NA,NA,12,3,Vic
32614,2017-05-08,NA,NA,13,9,Vic
32614,2017-05-08,NA,NA,14,9,Vic
32614,2017-05-08,NA,NA,15,14,Vic
32614,2017-05-08,NA,NA,16,8,Vic
32614,2017-05-08,NA,NA,17,37,Vic
32614,2017-05-08,NA,NA,18,50,Vic
32614,2017-05-08,NA,NA,19,11,Vic
32614,2017-05-08,NA,NA,20,2,Vic
32614,2017-05-08,NA,NA,21,1,Vic
32614,2017-05-09,NA,NA,6,18,Vic
32614,2017-05-09,NA,NA,7,75,Vic
32614,2017-05-09,NA,NA,8,51,Vic
32614,2017-05-09,NA,NA,9,21,Vic
32614,2017-05-09,NA,NA,10,10,Vic
32614,2017-05-09,NA,NA,11,12,Vic
32614,2017-05-09,NA,NA,12,28,Vic
32614,2017-05-09,NA,NA,13,7,Vic
32614,2017-05-09,NA,NA,14,12,Vic
32614,2017-05-09,NA,NA,15,18,Vic
32614,2017-05-09,NA,NA,16,22,Vic
32614,2017-05-09,NA,NA,17,57,Vic
32614,2017-05-09,NA,NA,18,71,Vic
32614,2017-05-09,NA,NA,19,20,Vic
32614,2017-05-09,NA,NA,20,6,Vic
32614,2017-05-09,NA,NA,21,3,Vic
32614,2017-05-09,NA,NA,22,2,Vic
32614,2017-05-09,NA,NA,23,2,Vic
32614,2017-05-10,NA,NA,5,3,Vic
32614,2017-05-10,NA,NA,6,15,Vic
32614,2017-05-10,NA,NA,7,93,Vic
32614,2017-05-10,NA,NA,8,75,Vic
32614,2017-05-10,NA,NA,9,43,Vic
32614,2017-05-10,NA,NA,10,29,Vic
32614,2017-05-10,NA,NA,11,25,Vic
32614,2017-05-10,NA,NA,12,25,Vic
32614,2017-05-10,NA,NA,13,28,Vic
32614,2017-05-10,NA,NA,14,22,Vic
32614,2017-05-10,NA,NA,15,29,Vic
32614,2017-05-10,NA,NA,16,29,Vic
32614,2017-05-10,NA,NA,17,44,Vic
32614,2017-05-10,NA,NA,18,64,Vic
32614,2017-05-10,NA,NA,19,19,Vic
32614,2017-05-10,NA,NA,20,2,Vic
32614,2017-05-10,NA,NA,21,3,Vic
32614,2017-05-10,NA,NA,23,2,Vic
32614,2017-05-11,NA,NA,5,2,Vic
32614,2017-05-11,NA,NA,6,23,Vic
32614,2017-05-11,NA,NA,7,76,Vic
32614,2017-05-11,NA,NA,8,93,Vic
32614,2017-05-11,NA,NA,9,51,Vic
32614,2017-05-11,NA,NA,10,23,Vic
32614,2017-05-11,NA,NA,11,33,Vic
32614,2017-05-11,NA,NA,12,7,Vic
32614,2017-05-11,NA,NA,13,16,Vic
32614,2017-05-11,NA,NA,14,17,Vic
32614,2017-05-11,NA,NA,15,23,Vic
32614,2017-05-11,NA,NA,16,21,Vic
32614,2017-05-11,NA,NA,17,44,Vic
32614,2017-05-11,NA,NA,18,51,Vic
32614,2017-05-11,NA,NA,19,32,Vic
32614,2017-05-11,NA,NA,20,7,Vic
32614,2017-05-11,NA,NA,21,3,Vic
32614,2017-05-12,NA,NA,3,2,Vic
32614,2017-05-12,NA,NA,4,1,Vic
32614,2017-05-12,NA,NA,5,2,Vic
32614,2017-05-12,NA,NA,6,13,Vic
32614,2017-05-12,NA,NA,7,67,Vic
32614,2017-05-12,NA,NA,8,57,Vic
32614,2017-05-12,NA,NA,9,64,Vic
32614,2017-05-12,NA,NA,10,46,Vic
32614,2017-05-12,NA,NA,11,38,Vic
32614,2017-05-12,NA,NA,12,21,Vic
32614,2017-05-12,NA,NA,13,18,Vic
32614,2017-05-12,NA,NA,14,24,Vic
32614,2017-05-12,NA,NA,15,29,Vic
32614,2017-05-12,NA,NA,16,41,Vic
32614,2017-05-12,NA,NA,17,35,Vic
32614,2017-05-12,NA,NA,18,33,Vic
32614,2017-05-12,NA,NA,19,7,Vic
32614,2017-05-12,NA,NA,20,5,Vic
32614,2017-05-12,NA,NA,22,3,Vic
32614,2017-05-12,NA,NA,23,1,Vic
32614,2017-05-13,NA,NA,2,1,Vic
32614,2017-05-13,NA,NA,4,2,Vic
32614,2017-05-13,NA,NA,5,1,Vic
32614,2017-05-13,NA,NA,6,12,Vic
32614,2017-05-13,NA,NA,7,21,Vic
32614,2017-05-13,NA,NA,8,40,Vic
32614,2017-05-13,NA,NA,9,54,Vic
32614,2017-05-13,NA,NA,10,39,Vic
32614,2017-05-13,NA,NA,11,52,Vic
32614,2017-05-13,NA,NA,12,39,Vic
32614,2017-05-13,NA,NA,13,24,Vic
32614,2017-05-13,NA,NA,14,26,Vic
32614,2017-05-13,NA,NA,15,34,Vic
32614,2017-05-13,NA,NA,16,34,Vic
32614,2017-05-13,NA,NA,17,28,Vic
32614,2017-05-13,NA,NA,18,6,Vic
32614,2017-05-13,NA,NA,23,2,Vic
32614,2017-05-14,NA,NA,4,1,Vic
32614,2017-05-14,NA,NA,5,1,Vic
32614,2017-05-14,NA,NA,6,8,Vic
32614,2017-05-14,NA,NA,7,15,Vic
32614,2017-05-14,NA,NA,8,35,Vic
32614,2017-05-14,NA,NA,9,52,Vic
32614,2017-05-14,NA,NA,10,62,Vic
32614,2017-05-14,NA,NA,11,41,Vic
32614,2017-05-14,NA,NA,12,39,Vic
32614,2017-05-14,NA,NA,13,39,Vic
32614,2017-05-14,NA,NA,14,45,Vic
32614,2017-05-14,NA,NA,15,48,Vic
32614,2017-05-14,NA,NA,16,30,Vic
32614,2017-05-14,NA,NA,17,24,Vic
32614,2017-05-14,NA,NA,18,2,Vic
32614,2017-05-14,NA,NA,19,1,Vic
32614,2017-05-14,NA,NA,20,1,Vic
32614,2017-05-14,NA,NA,21,3,Vic
32614,2017-05-14,NA,NA,22,1,Vic
32614,2017-05-15,NA,NA,5,1,Vic
32614,2017-05-15,NA,NA,6,15,Vic
32614,2017-05-15,NA,NA,7,69,Vic
32614,2017-05-15,NA,NA,8,72,Vic
32614,2017-05-15,NA,NA,9,54,Vic
32614,2017-05-15,NA,NA,10,25,Vic
32614,2017-05-15,NA,NA,11,21,Vic
32614,2017-05-15,NA,NA,12,22,Vic
32614,2017-05-15,NA,NA,13,15,Vic
32614,2017-05-15,NA,NA,14,12,Vic
32614,2017-05-15,NA,NA,15,18,Vic
32614,2017-05-15,NA,NA,16,30,Vic
32614,2017-05-15,NA,NA,17,56,Vic
32614,2017-05-15,NA,NA,18,64,Vic
32614,2017-05-15,NA,NA,19,23,Vic
32614,2017-05-15,NA,NA,20,8,Vic
32614,2017-05-15,NA,NA,21,1,Vic
32614,2017-05-16,NA,NA,5,3,Vic
32614,2017-05-16,NA,NA,6,30,Vic
32614,2017-05-16,NA,NA,7,77,Vic
32614,2017-05-16,NA,NA,8,71,Vic
32614,2017-05-16,NA,NA,9,37,Vic
32614,2017-05-16,NA,NA,10,34,Vic
32614,2017-05-16,NA,NA,11,26,Vic
32614,2017-05-16,NA,NA,12,34,Vic
32614,2017-05-16,NA,NA,13,13,Vic
32614,2017-05-16,NA,NA,14,16,Vic
32614,2017-05-16,NA,NA,15,10,Vic
32614,2017-05-16,NA,NA,16,29,Vic
32614,2017-05-16,NA,NA,17,58,Vic
32614,2017-05-16,NA,NA,18,53,Vic
32614,2017-05-16,NA,NA,19,23,Vic
32614,2017-05-16,NA,NA,20,7,Vic
32614,2017-05-16,NA,NA,21,1,Vic
32614,2017-05-16,NA,NA,22,1,Vic
32614,2017-05-16,NA,NA,23,1,Vic
32614,2017-05-17,NA,NA,5,5,Vic
32614,2017-05-17,NA,NA,6,17,Vic
32614,2017-05-17,NA,NA,7,62,Vic
32614,2017-05-17,NA,NA,8,42,Vic
32614,2017-05-17,NA,NA,9,26,Vic
32614,2017-05-17,NA,NA,10,18,Vic
32614,2017-05-17,NA,NA,11,17,Vic
32614,2017-05-17,NA,NA,12,12,Vic
32614,2017-05-17,NA,NA,13,9,Vic
32614,2017-05-17,NA,NA,14,14,Vic
32614,2017-05-17,NA,NA,15,9,Vic
32614,2017-05-17,NA,NA,16,18,Vic
32614,2017-05-17,NA,NA,17,37,Vic
32614,2017-05-17,NA,NA,18,52,Vic
32614,2017-05-17,NA,NA,19,20,Vic
32614,2017-05-17,NA,NA,20,5,Vic
32614,2017-05-17,NA,NA,21,2,Vic
32614,2017-05-17,NA,NA,22,2,Vic
32614,2017-05-18,NA,NA,4,1,Vic
32614,2017-05-18,NA,NA,5,4,Vic
32614,2017-05-18,NA,NA,6,14,Vic
32614,2017-05-18,NA,NA,7,50,Vic
32614,2017-05-18,NA,NA,8,56,Vic
32614,2017-05-18,NA,NA,9,33,Vic
32614,2017-05-18,NA,NA,10,30,Vic
32614,2017-05-18,NA,NA,11,20,Vic
32614,2017-05-18,NA,NA,12,20,Vic
32614,2017-05-18,NA,NA,13,22,Vic
32614,2017-05-18,NA,NA,14,11,Vic
32614,2017-05-18,NA,NA,15,10,Vic
32614,2017-05-18,NA,NA,16,15,Vic
32614,2017-05-18,NA,NA,17,45,Vic
32614,2017-05-18,NA,NA,18,35,Vic
32614,2017-05-18,NA,NA,19,23,Vic
32614,2017-05-18,NA,NA,20,7,Vic
32614,2017-05-18,NA,NA,21,2,Vic
32614,2017-05-18,NA,NA,22,1,Vic
32614,2017-05-19,NA,NA,0,1,Vic
32614,2017-05-19,NA,NA,5,3,Vic
32614,2017-05-19,NA,NA,6,9,Vic
32614,2017-05-19,NA,NA,7,44,Vic
32614,2017-05-19,NA,NA,8,36,Vic
32614,2017-05-19,NA,NA,9,19,Vic
32614,2017-05-19,NA,NA,10,12,Vic
32614,2017-05-19,NA,NA,11,18,Vic
32614,2017-05-19,NA,NA,12,16,Vic
32614,2017-05-19,NA,NA,13,10,Vic
32614,2017-05-19,NA,NA,14,2,Vic
