siteid,date,pub_hol,sch_hol,hr,nobs,state
32614,2016-03-24,NA,NA,16,5,Vic
32614,2016-03-24,NA,NA,17,29,Vic
32614,2016-03-24,NA,NA,18,66,Vic
32614,2016-03-24,NA,NA,19,62,Vic
32614,2016-03-24,NA,NA,20,27,Vic
32614,2016-03-24,NA,NA,21,4,Vic
32614,2016-03-24,NA,NA,22,2,Vic
32614,2016-03-25,1,1,0,1,Vic
32614,2016-03-25,1,1,1,3,Vic
32614,2016-03-25,1,1,4,2,Vic
32614,2016-03-25,1,1,6,1,Vic
32614,2016-03-25,1,1,7,3,Vic
32614,2016-03-25,1,1,8,18,Vic
32614,2016-03-25,1,1,9,37,Vic
32614,2016-03-25,1,1,10,60,Vic
32614,2016-03-25,1,1,11,38,Vic
32614,2016-03-25,1,1,12,65,Vic
32614,2016-03-25,1,1,13,61,Vic
32614,2016-03-25,1,1,14,69,Vic
32614,2016-03-25,1,1,15,114,Vic
32614,2016-03-25,1,1,16,118,Vic
32614,2016-03-25,1,1,17,116,Vic
32614,2016-03-25,1,1,18,94,Vic
32614,2016-03-25,1,1,19,70,Vic
32614,2016-03-25,1,1,20,35,Vic
32614,2016-03-25,1,1,21,15,Vic
32614,2016-03-25,1,1,22,1,Vic
32614,2016-03-26,NA,1,0,3,Vic
32614,2016-03-26,NA,1,1,3,Vic
32614,2016-03-26,NA,1,5,1,Vic
32614,2016-03-26,NA,1,7,5,Vic
32614,2016-03-26,NA,1,8,31,Vic
32614,2016-03-26,NA,1,9,51,Vic
32614,2016-03-26,NA,1,10,60,Vic
32614,2016-03-26,NA,1,11,65,Vic
32614,2016-03-26,NA,1,12,89,Vic
32614,2016-03-26,NA,1,13,70,Vic
32614,2016-03-26,NA,1,14,83,Vic
32614,2016-03-26,NA,1,15,70,Vic
32614,2016-03-26,NA,1,16,64,Vic
32614,2016-03-26,NA,1,17,82,Vic
32614,2016-03-26,NA,1,18,45,Vic
32614,2016-03-26,NA,1,19,22,Vic
32614,2016-03-26,NA,1,20,10,Vic
32614,2016-03-26,NA,1,21,3,Vic
32614,2016-03-26,NA,1,22,2,Vic
32614,2016-03-27,1,1,5,1,Vic
32614,2016-03-27,1,1,7,5,Vic
32614,2016-03-27,1,1,8,12,Vic
32614,2016-03-27,1,1,9,23,Vic
32614,2016-03-27,1,1,10,49,Vic
32614,2016-03-27,1,1,11,76,Vic
32614,2016-03-27,1,1,12,83,Vic
32614,2016-03-27,1,1,13,82,Vic
32614,2016-03-27,1,1,14,81,Vic
32614,2016-03-27,1,1,15,59,Vic
32614,2016-03-27,1,1,16,79,Vic
32614,2016-03-27,1,1,17,77,Vic
32614,2016-03-27,1,1,18,44,Vic
32614,2016-03-27,1,1,19,36,Vic
32614,2016-03-27,1,1,20,12,Vic
32614,2016-03-27,1,1,22,2,Vic
32614,2016-03-27,1,1,23,1,Vic
32614,2016-03-28,1,1,0,1,Vic
32614,2016-03-28,1,1,4,2,Vic
32614,2016-03-28,1,1,8,20,Vic
32614,2016-03-28,1,1,9,35,Vic
32614,2016-03-28,1,1,10,68,Vic
32614,2016-03-28,1,1,11,116,Vic
32614,2016-03-28,1,1,12,143,Vic
32614,2016-03-28,1,1,13,146,Vic
32614,2016-03-28,1,1,14,92,Vic
32614,2016-03-28,1,1,15,91,Vic
32614,2016-03-28,1,1,16,103,Vic
32614,2016-03-28,1,1,17,92,Vic
32614,2016-03-28,1,1,18,45,Vic
32614,2016-03-28,1,1,19,28,Vic
32614,2016-03-28,1,1,20,16,Vic
32614,2016-03-28,1,1,21,5,Vic
32614,2016-03-28,1,1,22,1,Vic
32614,2016-03-29,NA,1,5,1,Vic
32614,2016-03-29,NA,1,6,6,Vic
32614,2016-03-29,NA,1,7,24,Vic
32614,2016-03-29,NA,1,8,79,Vic
32614,2016-03-29,NA,1,9,77,Vic
32614,2016-03-29,NA,1,10,40,Vic
32614,2016-03-29,NA,1,11,41,Vic
32614,2016-03-29,NA,1,12,57,Vic
32614,2016-03-29,NA,1,13,37,Vic
32614,2016-03-29,NA,1,14,41,Vic
32614,2016-03-29,NA,1,15,35,Vic
32614,2016-03-29,NA,1,16,27,Vic
32614,2016-03-29,NA,1,17,39,Vic
32614,2016-03-29,NA,1,18,57,Vic
32614,2016-03-29,NA,1,19,82,Vic
32614,2016-03-29,NA,1,20,37,Vic
32614,2016-03-29,NA,1,21,7,Vic
32614,2016-03-29,NA,1,22,1,Vic
32614,2016-03-30,NA,1,3,2,Vic
32614,2016-03-30,NA,1,5,2,Vic
32614,2016-03-30,NA,1,6,5,Vic
32614,2016-03-30,NA,1,7,22,Vic
32614,2016-03-30,NA,1,8,97,Vic
32614,2016-03-30,NA,1,9,69,Vic
32614,2016-03-30,NA,1,10,34,Vic
32614,2016-03-30,NA,1,11,19,Vic
32614,2016-03-30,NA,1,12,37,Vic
32614,2016-03-30,NA,1,13,30,Vic
32614,2016-03-30,NA,1,14,24,Vic
32614,2016-03-30,NA,1,15,46,Vic
32614,2016-03-30,NA,1,16,67,Vic
32614,2016-03-30,NA,1,17,45,Vic
32614,2016-03-30,NA,1,18,71,Vic
32614,2016-03-30,NA,1,19,103,Vic
32614,2016-03-30,NA,1,20,44,Vic
32614,2016-03-30,NA,1,21,9,Vic
32614,2016-03-30,NA,1,23,2,Vic
32614,2016-03-31,NA,1,1,1,Vic
32614,2016-03-31,NA,1,6,3,Vic
32614,2016-03-31,NA,1,7,25,Vic
32614,2016-03-31,NA,1,8,92,Vic
32614,2016-03-31,NA,1,9,84,Vic
32614,2016-03-31,NA,1,10,63,Vic
32614,2016-03-31,NA,1,11,60,Vic
32614,2016-03-31,NA,1,12,60,Vic
32614,2016-03-31,NA,1,13,64,Vic
32614,2016-03-31,NA,1,14,69,Vic
32614,2016-03-31,NA,1,15,71,Vic
32614,2016-03-31,NA,1,16,71,Vic
32614,2016-03-31,NA,1,17,80,Vic
32614,2016-03-31,NA,1,18,94,Vic
32614,2016-03-31,NA,1,19,98,Vic
32614,2016-03-31,NA,1,20,49,Vic
32614,2016-03-31,NA,1,21,11,Vic
32614,2016-03-31,NA,1,22,7,Vic
32614,2016-03-31,NA,1,23,1,Vic
32614,2016-04-01,NA,1,0,2,Vic
32614,2016-04-01,NA,1,6,1,Vic
32614,2016-04-01,NA,1,7,28,Vic
32614,2016-04-01,NA,1,8,81,Vic
32614,2016-04-01,NA,1,9,79,Vic
32614,2016-04-01,NA,1,10,61,Vic
32614,2016-04-01,NA,1,11,74,Vic
32614,2016-04-01,NA,1,12,101,Vic
32614,2016-04-01,NA,1,13,101,Vic
32614,2016-04-01,NA,1,14,69,Vic
32614,2016-04-01,NA,1,15,42,Vic
32614,2016-04-01,NA,1,16,61,Vic
32614,2016-04-01,NA,1,17,80,Vic
32614,2016-04-01,NA,1,18,82,Vic
32614,2016-04-01,NA,1,19,76,Vic
32614,2016-04-01,NA,1,20,28,Vic
32614,2016-04-01,NA,1,21,10,Vic
32614,2016-04-01,NA,1,22,2,Vic
32614,2016-04-01,NA,1,23,3,Vic
32614,2016-04-02,NA,1,1,1,Vic
32614,2016-04-02,NA,1,3,1,Vic
32614,2016-04-02,NA,1,5,1,Vic
32614,2016-04-02,NA,1,7,6,Vic
