siteid,date,pub_hol,sch_hol,hr,nobs,state
31747,2017-01-01,1,1,7,2,Vic
31747,2017-01-01,1,1,13,2,Vic
31747,2017-01-01,1,1,14,3,Vic
31747,2017-01-01,1,1,15,3,Vic
31747,2017-01-01,1,1,16,1,Vic
31747,2017-01-02,1,1,7,2,Vic
31747,2017-01-02,1,1,11,1,Vic
31747,2017-01-02,1,1,12,1,Vic
31747,2017-01-02,1,1,13,4,Vic
31747,2017-01-02,1,1,15,1,Vic
31747,2017-01-02,1,1,17,2,Vic
31747,2017-01-02,1,1,18,1,Vic
31747,2017-01-02,1,1,20,2,Vic
31747,2017-01-03,NA,1,7,1,Vic
31747,2017-01-03,NA,1,8,3,Vic
31747,2017-01-03,NA,1,9,1,Vic
31747,2017-01-03,NA,1,10,1,Vic
31747,2017-01-03,NA,1,11,4,Vic
31747,2017-01-03,NA,1,13,1,Vic
31747,2017-01-03,NA,1,14,3,Vic
31747,2017-01-03,NA,1,17,3,Vic
31747,2017-01-03,NA,1,18,1,Vic
31747,2017-01-03,NA,1,19,3,Vic
31747,2017-01-03,NA,1,20,1,Vic
31747,2017-01-03,NA,1,21,2,Vic
31747,2017-01-03,NA,1,22,1,Vic
31747,2017-01-04,NA,1,6,1,Vic
31747,2017-01-04,NA,1,7,2,Vic
31747,2017-01-04,NA,1,8,2,Vic
31747,2017-01-04,NA,1,9,1,Vic
31747,2017-01-04,NA,1,10,5,Vic
31747,2017-01-04,NA,1,11,2,Vic
31747,2017-01-04,NA,1,13,1,Vic
31747,2017-01-04,NA,1,14,4,Vic
31747,2017-01-04,NA,1,16,1,Vic
31747,2017-01-04,NA,1,17,5,Vic
31747,2017-01-04,NA,1,18,2,Vic
31747,2017-01-04,NA,1,19,1,Vic
31747,2017-01-04,NA,1,20,1,Vic
31747,2017-01-05,NA,1,8,1,Vic
31747,2017-01-05,NA,1,9,2,Vic
31747,2017-01-05,NA,1,10,1,Vic
31747,2017-01-05,NA,1,11,2,Vic
31747,2017-01-05,NA,1,12,1,Vic
31747,2017-01-05,NA,1,13,2,Vic
31747,2017-01-05,NA,1,14,1,Vic
31747,2017-01-05,NA,1,16,2,Vic
31747,2017-01-05,NA,1,17,2,Vic
31747,2017-01-05,NA,1,18,1,Vic
31747,2017-01-06,NA,1,6,1,Vic
31747,2017-01-06,NA,1,7,1,Vic
31747,2017-01-06,NA,1,8,2,Vic
31747,2017-01-06,NA,1,9,1,Vic
31747,2017-01-06,NA,1,16,4,Vic
31747,2017-01-06,NA,1,17,1,Vic
31747,2017-01-06,NA,1,18,2,Vic
31747,2017-01-06,NA,1,19,1,Vic
31747,2017-01-06,NA,1,20,1,Vic
31747,2017-01-07,NA,1,7,2,Vic
31747,2017-01-07,NA,1,8,1,Vic
31747,2017-01-07,NA,1,9,5,Vic
31747,2017-01-07,NA,1,10,2,Vic
31747,2017-01-07,NA,1,12,2,Vic
31747,2017-01-08,NA,1,1,1,Vic
31747,2017-01-08,NA,1,7,2,Vic
31747,2017-01-08,NA,1,8,5,Vic
31747,2017-01-08,NA,1,9,1,Vic
31747,2017-01-08,NA,1,10,1,Vic
31747,2017-01-08,NA,1,12,3,Vic
31747,2017-01-08,NA,1,13,1,Vic
31747,2017-01-08,NA,1,15,2,Vic
31747,2017-01-08,NA,1,20,7,Vic
31747,2017-01-08,NA,1,21,3,Vic
31747,2017-01-09,NA,1,6,2,Vic
31747,2017-01-09,NA,1,9,1,Vic
31747,2017-01-09,NA,1,10,6,Vic
31747,2017-01-09,NA,1,11,4,Vic
31747,2017-01-09,NA,1,12,3,Vic
31747,2017-01-09,NA,1,13,11,Vic
31747,2017-01-09,NA,1,17,11,Vic
31747,2017-01-09,NA,1,18,2,Vic
31747,2017-01-09,NA,1,19,1,Vic
31747,2017-01-09,NA,1,20,2,Vic
31747,2017-01-10,NA,1,7,3,Vic
31747,2017-01-10,NA,1,8,8,Vic
31747,2017-01-10,NA,1,9,4,Vic
31747,2017-01-10,NA,1,10,3,Vic
31747,2017-01-10,NA,1,11,13,Vic
31747,2017-01-10,NA,1,12,7,Vic
31747,2017-01-10,NA,1,13,4,Vic
31747,2017-01-10,NA,1,14,1,Vic
31747,2017-01-10,NA,1,15,5,Vic
31747,2017-01-10,NA,1,16,4,Vic
31747,2017-01-10,NA,1,17,2,Vic
31747,2017-01-10,NA,1,18,3,Vic
31747,2017-01-11,NA,1,9,3,Vic
31747,2017-01-11,NA,1,11,1,Vic
31747,2017-01-11,NA,1,12,4,Vic
31747,2017-01-11,NA,1,13,6,Vic
31747,2017-01-11,NA,1,14,1,Vic
31747,2017-01-11,NA,1,15,2,Vic
31747,2017-01-11,NA,1,16,3,Vic
31747,2017-01-11,NA,1,17,4,Vic
31747,2017-01-11,NA,1,18,3,Vic
31747,2017-01-11,NA,1,19,3,Vic
31747,2017-01-12,NA,1,6,1,Vic
31747,2017-01-12,NA,1,7,2,Vic
31747,2017-01-12,NA,1,8,4,Vic
31747,2017-01-12,NA,1,9,2,Vic
31747,2017-01-12,NA,1,11,2,Vic
31747,2017-01-12,NA,1,12,2,Vic
31747,2017-01-12,NA,1,13,1,Vic
31747,2017-01-12,NA,1,14,7,Vic
31747,2017-01-12,NA,1,15,1,Vic
31747,2017-01-12,NA,1,16,2,Vic
31747,2017-01-12,NA,1,17,3,Vic
31747,2017-01-12,NA,1,18,4,Vic
31747,2017-01-12,NA,1,20,2,Vic
31747,2017-01-13,NA,1,8,1,Vic
31747,2017-01-13,NA,1,9,1,Vic
31747,2017-01-13,NA,1,12,2,Vic
31747,2017-01-13,NA,1,14,1,Vic
31747,2017-01-13,NA,1,15,1,Vic
31747,2017-01-13,NA,1,16,2,Vic
31747,2017-01-13,NA,1,17,2,Vic
31747,2017-01-13,NA,1,22,1,Vic
31747,2017-01-14,NA,1,7,2,Vic
31747,2017-01-14,NA,1,8,1,Vic
31747,2017-01-14,NA,1,11,4,Vic
31747,2017-01-14,NA,1,13,1,Vic
31747,2017-01-14,NA,1,14,3,Vic
31747,2017-01-14,NA,1,17,1,Vic
31747,2017-01-15,NA,1,7,1,Vic
31747,2017-01-15,NA,1,9,2,Vic
31747,2017-01-15,NA,1,10,1,Vic
31747,2017-01-15,NA,1,11,4,Vic
31747,2017-01-15,NA,1,13,1,Vic
31747,2017-01-15,NA,1,14,1,Vic
31747,2017-01-15,NA,1,15,3,Vic
