siteid,date,pub_hol,sch_hol,hr,nobs,state
51462,2017-01-01,1,1,0,4,WA
51462,2017-01-01,1,1,1,2,WA
51462,2017-01-01,1,1,2,1,WA
51462,2017-01-01,1,1,3,3,WA
51462,2017-01-01,1,1,5,9,WA
51462,2017-01-01,1,1,6,79,WA
51462,2017-01-01,1,1,7,153,WA
51462,2017-01-01,1,1,8,161,WA
51462,2017-01-01,1,1,9,135,WA
51462,2017-01-01,1,1,10,123,WA
51462,2017-01-01,1,1,11,105,WA
51462,2017-01-01,1,1,12,43,WA
51462,2017-01-01,1,1,13,55,WA
51462,2017-01-01,1,1,14,33,WA
51462,2017-01-01,1,1,15,30,WA
51462,2017-01-01,1,1,16,61,WA
51462,2017-01-01,1,1,17,30,WA
51462,2017-01-01,1,1,18,26,WA
51462,2017-01-01,1,1,19,16,WA
51462,2017-01-01,1,1,20,8,WA
51462,2017-01-01,1,1,21,4,WA
51462,2017-01-01,1,1,22,2,WA
51462,2017-01-01,1,1,23,4,WA
51462,2017-01-02,1,1,0,2,WA
51462,2017-01-02,1,1,1,1,WA
51462,2017-01-02,1,1,2,1,WA
51462,2017-01-02,1,1,3,1,WA
51462,2017-01-02,1,1,4,4,WA
51462,2017-01-02,1,1,5,64,WA
51462,2017-01-02,1,1,6,264,WA
51462,2017-01-02,1,1,7,371,WA
51462,2017-01-02,1,1,8,308,WA
51462,2017-01-02,1,1,9,220,WA
51462,2017-01-02,1,1,10,136,WA
51462,2017-01-02,1,1,11,53,WA
51462,2017-01-02,1,1,12,32,WA
51462,2017-01-02,1,1,13,17,WA
51462,2017-01-02,1,1,14,12,WA
51462,2017-01-02,1,1,15,13,WA
51462,2017-01-02,1,1,16,20,WA
51462,2017-01-02,1,1,17,30,WA
51462,2017-01-02,1,1,18,38,WA
51462,2017-01-02,1,1,19,27,WA
51462,2017-01-02,1,1,20,14,WA
51462,2017-01-02,1,1,21,8,WA
51462,2017-01-02,1,1,22,1,WA
51462,2017-01-03,NA,1,0,1,WA
51462,2017-01-03,NA,1,2,1,WA
51462,2017-01-03,NA,1,4,9,WA
51462,2017-01-03,NA,1,5,122,WA
51462,2017-01-03,NA,1,6,469,WA
51462,2017-01-03,NA,1,7,413,WA
51462,2017-01-03,NA,1,8,198,WA
51462,2017-01-03,NA,1,9,119,WA
51462,2017-01-03,NA,1,10,42,WA
51462,2017-01-03,NA,1,11,27,WA
51462,2017-01-03,NA,1,12,13,WA
51462,2017-01-03,NA,1,13,19,WA
51462,2017-01-03,NA,1,14,22,WA
51462,2017-01-03,NA,1,15,18,WA
51462,2017-01-03,NA,1,16,66,WA
51462,2017-01-03,NA,1,17,122,WA
51462,2017-01-03,NA,1,18,59,WA
51462,2017-01-03,NA,1,19,27,WA
51462,2017-01-03,NA,1,20,12,WA
51462,2017-01-03,NA,1,21,6,WA
51462,2017-01-03,NA,1,22,4,WA
51462,2017-01-04,NA,1,1,1,WA
51462,2017-01-04,NA,1,2,1,WA
51462,2017-01-04,NA,1,3,1,WA
51462,2017-01-04,NA,1,4,7,WA
51462,2017-01-04,NA,1,5,110,WA
51462,2017-01-04,NA,1,6,338,WA
51462,2017-01-04,NA,1,7,418,WA
51462,2017-01-04,NA,1,8,158,WA
51462,2017-01-04,NA,1,9,52,WA
51462,2017-01-04,NA,1,10,37,WA
51462,2017-01-04,NA,1,11,28,WA
51462,2017-01-04,NA,1,12,7,WA
51462,2017-01-04,NA,1,13,8,WA
51462,2017-01-04,NA,1,14,11,WA
51462,2017-01-04,NA,1,15,24,WA
51462,2017-01-04,NA,1,16,62,WA
51462,2017-01-04,NA,1,17,121,WA
51462,2017-01-04,NA,1,18,77,WA
51462,2017-01-04,NA,1,19,39,WA
51462,2017-01-04,NA,1,20,9,WA
51462,2017-01-04,NA,1,21,13,WA
51462,2017-01-04,NA,1,22,1,WA
51462,2017-01-04,NA,1,23,4,WA
51462,2017-01-05,NA,1,0,1,WA
51462,2017-01-05,NA,1,1,1,WA
51462,2017-01-05,NA,1,2,3,WA
51462,2017-01-05,NA,1,3,1,WA
51462,2017-01-05,NA,1,4,13,WA
51462,2017-01-05,NA,1,5,155,WA
51462,2017-01-05,NA,1,6,510,WA
51462,2017-01-05,NA,1,7,431,WA
51462,2017-01-05,NA,1,8,274,WA
51462,2017-01-05,NA,1,9,155,WA
51462,2017-01-05,NA,1,10,84,WA
51462,2017-01-05,NA,1,11,84,WA
51462,2017-01-05,NA,1,12,44,WA
51462,2017-01-05,NA,1,13,26,WA
51462,2017-01-05,NA,1,14,43,WA
51462,2017-01-05,NA,1,15,60,WA
51462,2017-01-05,NA,1,16,94,WA
51462,2017-01-05,NA,1,17,191,WA
51462,2017-01-05,NA,1,18,74,WA
51462,2017-01-05,NA,1,19,35,WA
51462,2017-01-05,NA,1,20,6,WA
51462,2017-01-05,NA,1,21,5,WA
51462,2017-01-05,NA,1,23,1,WA
51462,2017-01-06,NA,1,0,1,WA
51462,2017-01-06,NA,1,2,1,WA
51462,2017-01-06,NA,1,4,3,WA
51462,2017-01-06,NA,1,5,92,WA
51462,2017-01-06,NA,1,6,278,WA
51462,2017-01-06,NA,1,7,273,WA
51462,2017-01-06,NA,1,8,176,WA
51462,2017-01-06,NA,1,9,82,WA
51462,2017-01-06,NA,1,10,66,WA
51462,2017-01-06,NA,1,11,71,WA
51462,2017-01-06,NA,1,12,45,WA
51462,2017-01-06,NA,1,13,37,WA
51462,2017-01-06,NA,1,14,31,WA
51462,2017-01-06,NA,1,15,41,WA
51462,2017-01-06,NA,1,16,96,WA
51462,2017-01-06,NA,1,17,108,WA
51462,2017-01-06,NA,1,18,65,WA
51462,2017-01-06,NA,1,19,19,WA
51462,2017-01-06,NA,1,20,4,WA
51462,2017-01-06,NA,1,21,4,WA
51462,2017-01-06,NA,1,23,1,WA
51462,2017-01-07,NA,1,0,1,WA
51462,2017-01-07,NA,1,1,2,WA
51462,2017-01-07,NA,1,2,1,WA
