siteid,date,pub_hol,sch_hol,hr,nobs,state
51462,2015-01-01,1,1,0,3,WA
51462,2015-01-01,1,1,1,6,WA
51462,2015-01-01,1,1,2,4,WA
51462,2015-01-01,1,1,3,1,WA
51462,2015-01-01,1,1,4,2,WA
51462,2015-01-01,1,1,5,26,WA
51462,2015-01-01,1,1,6,136,WA
51462,2015-01-01,1,1,7,198,WA
51462,2015-01-01,1,1,8,250,WA
51462,2015-01-01,1,1,9,181,WA
51462,2015-01-01,1,1,10,149,WA
51462,2015-01-01,1,1,11,82,WA
51462,2015-01-01,1,1,12,55,WA
51462,2015-01-01,1,1,13,40,WA
51462,2015-01-01,1,1,14,37,WA
51462,2015-01-01,1,1,15,33,WA
51462,2015-01-01,1,1,16,49,WA
51462,2015-01-01,1,1,17,54,WA
51462,2015-01-01,1,1,18,51,WA
51462,2015-01-01,1,1,19,24,WA
51462,2015-01-01,1,1,20,9,WA
51462,2015-01-01,1,1,21,4,WA
51462,2015-01-01,1,1,22,2,WA
51462,2015-01-01,1,1,23,1,WA
51462,2015-01-02,NA,1,0,1,WA
51462,2015-01-02,NA,1,1,1,WA
51462,2015-01-02,NA,1,4,2,WA
51462,2015-01-02,NA,1,5,64,WA
51462,2015-01-02,NA,1,6,266,WA
51462,2015-01-02,NA,1,7,391,WA
51462,2015-01-02,NA,1,8,257,WA
51462,2015-01-02,NA,1,9,190,WA
51462,2015-01-02,NA,1,10,162,WA
51462,2015-01-02,NA,1,11,69,WA
51462,2015-01-02,NA,1,12,71,WA
51462,2015-01-02,NA,1,13,50,WA
51462,2015-01-02,NA,1,14,22,WA
51462,2015-01-02,NA,1,15,59,WA
51462,2015-01-02,NA,1,16,64,WA
51462,2015-01-02,NA,1,17,75,WA
51462,2015-01-02,NA,1,18,57,WA
51462,2015-01-02,NA,1,19,9,WA
51462,2015-01-02,NA,1,20,12,WA
51462,2015-01-02,NA,1,21,5,WA
51462,2015-01-02,NA,1,22,1,WA
51462,2015-01-02,NA,1,23,1,WA
51462,2015-01-03,NA,1,0,2,WA
51462,2015-01-03,NA,1,1,1,WA
51462,2015-01-03,NA,1,2,1,WA
51462,2015-01-03,NA,1,4,4,WA
51462,2015-01-03,NA,1,5,78,WA
51462,2015-01-03,NA,1,6,351,WA
