siteid,date,pub_hol,sch_hol,hr,nobs,state
226201,2015-11-19,NA,NA,16,2,Vic
226201,2015-11-19,NA,NA,18,1,Vic
226201,2015-11-19,NA,NA,20,1,Vic
226201,2015-11-19,NA,NA,21,1,Vic
226201,2015-11-20,NA,NA,8,5,Vic
226201,2015-11-20,NA,NA,9,1,Vic
226201,2015-11-20,NA,NA,10,1,Vic
226201,2015-11-20,NA,NA,11,1,Vic
226201,2015-11-20,NA,NA,13,1,Vic
226201,2015-11-20,NA,NA,16,1,Vic
226201,2015-11-20,NA,NA,17,2,Vic
226201,2015-11-21,NA,NA,8,1,Vic
226201,2015-11-21,NA,NA,9,2,Vic
226201,2015-11-21,NA,NA,10,3,Vic
226201,2015-11-21,NA,NA,11,1,Vic
226201,2015-11-21,NA,NA,12,9,Vic
226201,2015-11-21,NA,NA,13,2,Vic
226201,2015-11-21,NA,NA,15,7,Vic
226201,2015-11-21,NA,NA,16,1,Vic
226201,2015-11-21,NA,NA,17,9,Vic
226201,2015-11-21,NA,NA,18,5,Vic
226201,2015-11-21,NA,NA,19,1,Vic
226201,2015-11-21,NA,NA,20,1,Vic
226201,2015-11-22,NA,NA,9,2,Vic
226201,2015-11-22,NA,NA,10,3,Vic
226201,2015-11-22,NA,NA,11,16,Vic
226201,2015-11-22,NA,NA,12,9,Vic
226201,2015-11-22,NA,NA,13,7,Vic
226201,2015-11-22,NA,NA,14,7,Vic
226201,2015-11-22,NA,NA,15,6,Vic
226201,2015-11-22,NA,NA,16,3,Vic
226201,2015-11-22,NA,NA,17,4,Vic
226201,2015-11-22,NA,NA,18,4,Vic
226201,2015-11-22,NA,NA,19,1,Vic
226201,2015-11-22,NA,NA,20,2,Vic
226201,2015-11-23,NA,NA,6,1,Vic
226201,2015-11-23,NA,NA,8,2,Vic
226201,2015-11-23,NA,NA,9,4,Vic
226201,2015-11-23,NA,NA,10,5,Vic
226201,2015-11-23,NA,NA,11,2,Vic
226201,2015-11-23,NA,NA,12,3,Vic
226201,2015-11-23,NA,NA,14,1,Vic
226201,2015-11-23,NA,NA,15,3,Vic
226201,2015-11-23,NA,NA,16,1,Vic
226201,2015-11-23,NA,NA,17,3,Vic
226201,2015-11-23,NA,NA,18,4,Vic
226201,2015-11-23,NA,NA,19,1,Vic
226201,2015-11-23,NA,NA,20,3,Vic
226201,2015-11-24,NA,NA,7,2,Vic
226201,2015-11-24,NA,NA,8,1,Vic
226201,2015-11-24,NA,NA,9,2,Vic
226201,2015-11-24,NA,NA,10,2,Vic
226201,2015-11-24,NA,NA,11,1,Vic
226201,2015-11-24,NA,NA,12,1,Vic
226201,2015-11-24,NA,NA,13,1,Vic
226201,2015-11-24,NA,NA,14,2,Vic
226201,2015-11-24,NA,NA,15,1,Vic
226201,2015-11-24,NA,NA,16,6,Vic
226201,2015-11-24,NA,NA,17,4,Vic
226201,2015-11-24,NA,NA,18,6,Vic
226201,2015-11-24,NA,NA,19,2,Vic
226201,2015-11-24,NA,NA,20,1,Vic
226201,2015-11-25,NA,NA,6,1,Vic
226201,2015-11-25,NA,NA,7,1,Vic
226201,2015-11-25,NA,NA,8,1,Vic
226201,2015-11-25,NA,NA,9,2,Vic
226201,2015-11-25,NA,NA,10,3,Vic
226201,2015-11-25,NA,NA,11,2,Vic
226201,2015-11-25,NA,NA,13,1,Vic
226201,2015-11-25,NA,NA,16,1,Vic
226201,2015-11-25,NA,NA,18,1,Vic
226201,2015-11-26,NA,NA,6,1,Vic
226201,2015-11-26,NA,NA,7,1,Vic
226201,2015-11-26,NA,NA,8,1,Vic
226201,2015-11-26,NA,NA,9,5,Vic
226201,2015-11-26,NA,NA,11,1,Vic
226201,2015-11-26,NA,NA,14,2,Vic
226201,2015-11-26,NA,NA,16,1,Vic
226201,2015-11-26,NA,NA,17,1,Vic
226201,2015-11-26,NA,NA,18,1,Vic
226201,2015-11-27,NA,NA,7,2,Vic
226201,2015-11-27,NA,NA,8,5,Vic
226201,2015-11-27,NA,NA,9,2,Vic
226201,2015-11-27,NA,NA,10,3,Vic
226201,2015-11-27,NA,NA,11,1,Vic
226201,2015-11-27,NA,NA,14,3,Vic
226201,2015-11-27,NA,NA,17,1,Vic
226201,2015-11-27,NA,NA,20,3,Vic
226201,2015-11-28,NA,NA,6,1,Vic
226201,2015-11-28,NA,NA,7,1,Vic
226201,2015-11-28,NA,NA,8,5,Vic
226201,2015-11-28,NA,NA,9,3,Vic
226201,2015-11-28,NA,NA,10,5,Vic
226201,2015-11-28,NA,NA,12,8,Vic
226201,2015-11-28,NA,NA,13,5,Vic
226201,2015-11-28,NA,NA,14,5,Vic
226201,2015-11-28,NA,NA,15,3,Vic
226201,2015-11-28,NA,NA,16,10,Vic
226201,2015-11-28,NA,NA,17,3,Vic
226201,2015-11-28,NA,NA,18,4,Vic
226201,2015-11-28,NA,NA,19,5,Vic
226201,2015-11-29,NA,NA,10,3,Vic
226201,2015-11-29,NA,NA,12,11,Vic
226201,2015-11-29,NA,NA,13,7,Vic
226201,2015-11-29,NA,NA,15,2,Vic
226201,2015-11-29,NA,NA,16,3,Vic
226201,2015-11-29,NA,NA,17,10,Vic
226201,2015-11-29,NA,NA,18,1,Vic
226201,2015-11-29,NA,NA,19,6,Vic
226201,2015-11-29,NA,NA,20,4,Vic
226201,2015-11-30,NA,NA,6,1,Vic
226201,2015-11-30,NA,NA,8,2,Vic
226201,2015-11-30,NA,NA,9,3,Vic
226201,2015-11-30,NA,NA,10,2,Vic
226201,2015-11-30,NA,NA,11,3,Vic
226201,2015-11-30,NA,NA,12,2,Vic
226201,2015-11-30,NA,NA,13,4,Vic
226201,2015-11-30,NA,NA,14,2,Vic
226201,2015-11-30,NA,NA,18,1,Vic
226201,2015-12-01,NA,NA,6,1,Vic
226201,2015-12-01,NA,NA,7,4,Vic
226201,2015-12-01,NA,NA,8,2,Vic
226201,2015-12-01,NA,NA,9,3,Vic
