siteid,date,pub_hol,sch_hol,hr,nobs,state
51270,2015-01-01,1,1,0,17,WA
51270,2015-01-01,1,1,1,9,WA
51270,2015-01-01,1,1,2,5,WA
51270,2015-01-01,1,1,3,1,WA
51270,2015-01-01,1,1,4,3,WA
51270,2015-01-01,1,1,5,18,WA
51270,2015-01-01,1,1,6,78,WA
51270,2015-01-01,1,1,7,158,WA
51270,2015-01-01,1,1,8,177,WA
51270,2015-01-01,1,1,9,224,WA
51270,2015-01-01,1,1,10,196,WA
51270,2015-01-01,1,1,11,112,WA
51270,2015-01-01,1,1,12,84,WA
51270,2015-01-01,1,1,13,70,WA
51270,2015-01-01,1,1,14,63,WA
51270,2015-01-01,1,1,15,89,WA
51270,2015-01-01,1,1,16,81,WA
51270,2015-01-01,1,1,17,87,WA
51270,2015-01-01,1,1,18,123,WA
51270,2015-01-01,1,1,19,80,WA
51270,2015-01-01,1,1,20,27,WA
51270,2015-01-01,1,1,21,7,WA
51270,2015-01-01,1,1,22,2,WA
51270,2015-01-01,1,1,23,5,WA
51270,2015-01-02,NA,1,0,1,WA
51270,2015-01-02,NA,1,4,5,WA
51270,2015-01-02,NA,1,5,27,WA
51270,2015-01-02,NA,1,6,131,WA
51270,2015-01-02,NA,1,7,261,WA
51270,2015-01-02,NA,1,8,257,WA
51270,2015-01-02,NA,1,9,220,WA
51270,2015-01-02,NA,1,10,185,WA
51270,2015-01-02,NA,1,11,163,WA
51270,2015-01-02,NA,1,12,141,WA
51270,2015-01-02,NA,1,13,113,WA
51270,2015-01-02,NA,1,14,84,WA
51270,2015-01-02,NA,1,15,74,WA
51270,2015-01-02,NA,1,16,97,WA
51270,2015-01-02,NA,1,17,82,WA
51270,2015-01-02,NA,1,18,87,WA
51270,2015-01-02,NA,1,19,34,WA
51270,2015-01-02,NA,1,20,22,WA
51270,2015-01-02,NA,1,21,12,WA
51270,2015-01-02,NA,1,22,6,WA
51270,2015-01-02,NA,1,23,7,WA
51270,2015-01-03,NA,1,4,2,WA
51270,2015-01-03,NA,1,5,46,WA
51270,2015-01-03,NA,1,6,262,WA
51270,2015-01-03,NA,1,7,302,WA
51270,2015-01-03,NA,1,8,331,WA
51270,2015-01-03,NA,1,9,312,WA
51270,2015-01-03,NA,1,10,243,WA
51270,2015-01-03,NA,1,11,183,WA
