siteid,date,pub_hol,sch_hol,hr,nobs,state
51270,2016-01-01,1,1,0,12,WA
51270,2016-01-01,1,1,1,4,WA
51270,2016-01-01,1,1,2,2,WA
51270,2016-01-01,1,1,3,1,WA
51270,2016-01-01,1,1,4,5,WA
51270,2016-01-01,1,1,5,19,WA
51270,2016-01-01,1,1,6,69,WA
51270,2016-01-01,1,1,7,79,WA
51270,2016-01-01,1,1,8,102,WA
51270,2016-01-01,1,1,9,102,WA
51270,2016-01-01,1,1,10,88,WA
51270,2016-01-01,1,1,11,73,WA
51270,2016-01-01,1,1,12,42,WA
51270,2016-01-01,1,1,13,49,WA
51270,2016-01-01,1,1,14,40,WA
51270,2016-01-01,1,1,15,44,WA
51270,2016-01-01,1,1,16,35,WA
51270,2016-01-01,1,1,17,56,WA
51270,2016-01-01,1,1,18,64,WA
51270,2016-01-01,1,1,19,49,WA
51270,2016-01-01,1,1,20,30,WA
51270,2016-01-01,1,1,21,8,WA
51270,2016-01-01,1,1,22,9,WA
51270,2016-01-01,1,1,23,2,WA
51270,2016-01-02,NA,1,0,2,WA
51270,2016-01-02,NA,1,4,2,WA
51270,2016-01-02,NA,1,5,40,WA
51270,2016-01-02,NA,1,6,160,WA
51270,2016-01-02,NA,1,7,243,WA
51270,2016-01-02,NA,1,8,257,WA
51270,2016-01-02,NA,1,9,178,WA
51270,2016-01-02,NA,1,10,177,WA
51270,2016-01-02,NA,1,11,64,WA
51270,2016-01-02,NA,1,12,55,WA
51270,2016-01-02,NA,1,13,18,WA
51270,2016-01-02,NA,1,14,20,WA
51270,2016-01-02,NA,1,15,22,WA
51270,2016-01-02,NA,1,16,24,WA
51270,2016-01-02,NA,1,17,34,WA
51270,2016-01-02,NA,1,18,70,WA
51270,2016-01-02,NA,1,19,73,WA
51270,2016-01-02,NA,1,20,32,WA
51270,2016-01-02,NA,1,21,27,WA
51270,2016-01-02,NA,1,22,8,WA
51270,2016-01-03,NA,1,0,3,WA
51270,2016-01-03,NA,1,1,1,WA
51270,2016-01-03,NA,1,2,1,WA
51270,2016-01-03,NA,1,4,4,WA
51270,2016-01-03,NA,1,5,53,WA
51270,2016-01-03,NA,1,6,181,WA
51270,2016-01-03,NA,1,7,303,WA
51270,2016-01-03,NA,1,8,305,WA
