siteid,date,pub_hol,sch_hol,hr,nobs,state
7600,2016-01-01,1,1,0,11,Vic
7600,2016-01-01,1,1,1,14,Vic
7600,2016-01-01,1,1,2,10,Vic
7600,2016-01-01,1,1,3,2,Vic
7600,2016-01-01,1,1,4,3,Vic
7600,2016-01-01,1,1,5,4,Vic
7600,2016-01-01,1,1,6,7,Vic
7600,2016-01-01,1,1,7,4,Vic
7600,2016-01-01,1,1,8,4,Vic
7600,2016-01-01,1,1,9,5,Vic
7600,2016-01-01,1,1,10,9,Vic
7600,2016-01-01,1,1,11,7,Vic
7600,2016-01-01,1,1,12,10,Vic
7600,2016-01-01,1,1,13,20,Vic
7600,2016-01-01,1,1,14,9,Vic
7600,2016-01-01,1,1,15,21,Vic
7600,2016-01-01,1,1,16,15,Vic
7600,2016-01-01,1,1,17,18,Vic
7600,2016-01-01,1,1,18,6,Vic
7600,2016-01-01,1,1,19,4,Vic
7600,2016-01-01,1,1,20,5,Vic
7600,2016-01-01,1,1,21,2,Vic
7600,2016-01-01,1,1,22,4,Vic
7600,2016-01-01,1,1,23,4,Vic
7600,2016-01-02,NA,1,0,1,Vic
7600,2016-01-02,NA,1,1,1,Vic
7600,2016-01-02,NA,1,5,1,Vic
7600,2016-01-02,NA,1,6,3,Vic
7600,2016-01-02,NA,1,7,4,Vic
7600,2016-01-02,NA,1,8,12,Vic
7600,2016-01-02,NA,1,9,21,Vic
7600,2016-01-02,NA,1,10,22,Vic
7600,2016-01-02,NA,1,11,35,Vic
7600,2016-01-02,NA,1,12,39,Vic
7600,2016-01-02,NA,1,13,21,Vic
7600,2016-01-02,NA,1,14,22,Vic
7600,2016-01-02,NA,1,15,24,Vic
7600,2016-01-02,NA,1,16,20,Vic
7600,2016-01-02,NA,1,17,42,Vic
7600,2016-01-02,NA,1,18,21,Vic
7600,2016-01-02,NA,1,19,20,Vic
7600,2016-01-02,NA,1,20,19,Vic
7600,2016-01-02,NA,1,21,19,Vic
7600,2016-01-02,NA,1,22,8,Vic
7600,2016-01-02,NA,1,23,7,Vic
7600,2016-01-03,NA,1,0,5,Vic
7600,2016-01-03,NA,1,1,2,Vic
7600,2016-01-03,NA,1,2,3,Vic
7600,2016-01-03,NA,1,3,1,Vic
7600,2016-01-03,NA,1,4,1,Vic
7600,2016-01-03,NA,1,6,2,Vic
7600,2016-01-03,NA,1,7,5,Vic
7600,2016-01-03,NA,1,8,13,Vic
7600,2016-01-03,NA,1,9,22,Vic
7600,2016-01-03,NA,1,10,22,Vic
7600,2016-01-03,NA,1,11,36,Vic
7600,2016-01-03,NA,1,12,33,Vic
7600,2016-01-03,NA,1,13,29,Vic
7600,2016-01-03,NA,1,14,16,Vic
7600,2016-01-03,NA,1,15,50,Vic
7600,2016-01-03,NA,1,16,29,Vic
7600,2016-01-03,NA,1,17,23,Vic
7600,2016-01-03,NA,1,18,11,Vic
7600,2016-01-03,NA,1,19,10,Vic
7600,2016-01-03,NA,1,20,15,Vic
7600,2016-01-03,NA,1,21,8,Vic
7600,2016-01-03,NA,1,22,9,Vic
7600,2016-01-03,NA,1,23,7,Vic
7600,2016-01-04,NA,1,2,2,Vic
7600,2016-01-04,NA,1,5,3,Vic
7600,2016-01-04,NA,1,6,12,Vic
