siteid,date,pub_hol,sch_hol,hr,nobs,state
90771,2017-01-01,1,1,0,5,Vic
90771,2017-01-01,1,1,1,4,Vic
90771,2017-01-01,1,1,2,4,Vic
90771,2017-01-01,1,1,3,1,Vic
90771,2017-01-01,1,1,6,2,Vic
90771,2017-01-01,1,1,7,1,Vic
90771,2017-01-01,1,1,8,3,Vic
90771,2017-01-01,1,1,9,3,Vic
90771,2017-01-01,1,1,10,1,Vic
90771,2017-01-01,1,1,11,3,Vic
90771,2017-01-01,1,1,12,8,Vic
90771,2017-01-01,1,1,13,4,Vic
90771,2017-01-01,1,1,14,3,Vic
90771,2017-01-01,1,1,15,9,Vic
90771,2017-01-01,1,1,16,2,Vic
90771,2017-01-01,1,1,17,6,Vic
90771,2017-01-01,1,1,18,3,Vic
90771,2017-01-01,1,1,19,4,Vic
90771,2017-01-01,1,1,20,2,Vic
90771,2017-01-01,1,1,21,6,Vic
90771,2017-01-01,1,1,23,1,Vic
90771,2017-01-02,1,1,1,2,Vic
90771,2017-01-02,1,1,2,2,Vic
90771,2017-01-02,1,1,4,1,Vic
90771,2017-01-02,1,1,5,1,Vic
90771,2017-01-02,1,1,8,2,Vic
90771,2017-01-02,1,1,9,3,Vic
90771,2017-01-02,1,1,10,1,Vic
90771,2017-01-02,1,1,11,2,Vic
90771,2017-01-02,1,1,12,7,Vic
90771,2017-01-02,1,1,13,4,Vic
90771,2017-01-02,1,1,14,2,Vic
90771,2017-01-02,1,1,15,11,Vic
90771,2017-01-02,1,1,16,4,Vic
90771,2017-01-02,1,1,17,4,Vic
90771,2017-01-02,1,1,18,8,Vic
90771,2017-01-02,1,1,19,3,Vic
90771,2017-01-02,1,1,20,3,Vic
90771,2017-01-02,1,1,21,3,Vic
90771,2017-01-02,1,1,23,4,Vic
90771,2017-01-03,NA,1,0,1,Vic
90771,2017-01-03,NA,1,3,1,Vic
90771,2017-01-03,NA,1,4,1,Vic
90771,2017-01-03,NA,1,6,3,Vic
90771,2017-01-03,NA,1,7,16,Vic
90771,2017-01-03,NA,1,8,28,Vic
90771,2017-01-03,NA,1,9,4,Vic
90771,2017-01-03,NA,1,10,2,Vic
90771,2017-01-03,NA,1,11,8,Vic
90771,2017-01-03,NA,1,12,6,Vic
90771,2017-01-03,NA,1,13,11,Vic
90771,2017-01-03,NA,1,14,9,Vic
90771,2017-01-03,NA,1,15,23,Vic
90771,2017-01-03,NA,1,16,43,Vic
90771,2017-01-03,NA,1,17,104,Vic
90771,2017-01-03,NA,1,18,64,Vic
90771,2017-01-03,NA,1,19,20,Vic
90771,2017-01-03,NA,1,20,9,Vic
90771,2017-01-03,NA,1,21,13,Vic
90771,2017-01-03,NA,1,22,9,Vic
90771,2017-01-03,NA,1,23,2,Vic
90771,2017-01-04,NA,1,0,2,Vic
90771,2017-01-04,NA,1,1,1,Vic
90771,2017-01-04,NA,1,2,1,Vic
90771,2017-01-04,NA,1,4,1,Vic
90771,2017-01-04,NA,1,5,1,Vic
90771,2017-01-04,NA,1,6,4,Vic
90771,2017-01-04,NA,1,7,16,Vic
90771,2017-01-04,NA,1,8,26,Vic
90771,2017-01-04,NA,1,9,10,Vic
90771,2017-01-04,NA,1,10,10,Vic
90771,2017-01-04,NA,1,11,7,Vic
90771,2017-01-04,NA,1,12,13,Vic
90771,2017-01-04,NA,1,13,10,Vic
90771,2017-01-04,NA,1,14,10,Vic
90771,2017-01-04,NA,1,15,14,Vic
90771,2017-01-04,NA,1,16,62,Vic
90771,2017-01-04,NA,1,17,106,Vic
90771,2017-01-04,NA,1,18,52,Vic
90771,2017-01-04,NA,1,19,20,Vic
90771,2017-01-04,NA,1,20,14,Vic
90771,2017-01-04,NA,1,21,11,Vic
90771,2017-01-04,NA,1,22,8,Vic
90771,2017-01-04,NA,1,23,3,Vic
90771,2017-01-05,NA,1,0,1,Vic
90771,2017-01-05,NA,1,1,1,Vic
90771,2017-01-05,NA,1,5,2,Vic
90771,2017-01-05,NA,1,6,3,Vic
90771,2017-01-05,NA,1,7,9,Vic
90771,2017-01-05,NA,1,8,31,Vic
90771,2017-01-05,NA,1,9,11,Vic
90771,2017-01-05,NA,1,10,6,Vic
90771,2017-01-05,NA,1,11,7,Vic
90771,2017-01-05,NA,1,12,10,Vic
90771,2017-01-05,NA,1,13,12,Vic
90771,2017-01-05,NA,1,14,17,Vic
90771,2017-01-05,NA,1,15,15,Vic
90771,2017-01-05,NA,1,16,49,Vic
90771,2017-01-05,NA,1,17,99,Vic
90771,2017-01-05,NA,1,18,59,Vic
90771,2017-01-05,NA,1,19,19,Vic
90771,2017-01-05,NA,1,20,12,Vic
90771,2017-01-05,NA,1,21,13,Vic
90771,2017-01-05,NA,1,22,4,Vic
90771,2017-01-05,NA,1,23,3,Vic
90771,2017-01-06,NA,1,0,1,Vic
90771,2017-01-06,NA,1,1,1,Vic
90771,2017-01-06,NA,1,2,2,Vic
90771,2017-01-06,NA,1,3,3,Vic
90771,2017-01-06,NA,1,5,1,Vic
90771,2017-01-06,NA,1,6,4,Vic
90771,2017-01-06,NA,1,7,14,Vic
90771,2017-01-06,NA,1,8,26,Vic
90771,2017-01-06,NA,1,9,5,Vic
90771,2017-01-06,NA,1,10,4,Vic
90771,2017-01-06,NA,1,11,5,Vic
90771,2017-01-06,NA,1,12,10,Vic
90771,2017-01-06,NA,1,13,16,Vic
90771,2017-01-06,NA,1,14,13,Vic
90771,2017-01-06,NA,1,15,13,Vic
90771,2017-01-06,NA,1,16,49,Vic
90771,2017-01-06,NA,1,17,86,Vic
90771,2017-01-06,NA,1,18,42,Vic
90771,2017-01-06,NA,1,19,10,Vic
90771,2017-01-06,NA,1,20,11,Vic
90771,2017-01-06,NA,1,21,9,Vic
90771,2017-01-06,NA,1,22,7,Vic
90771,2017-01-06,NA,1,23,8,Vic
90771,2017-01-07,NA,1,0,5,Vic
90771,2017-01-07,NA,1,1,1,Vic
90771,2017-01-07,NA,1,3,2,Vic
90771,2017-01-07,NA,1,4,1,Vic
90771,2017-01-07,NA,1,6,2,Vic
90771,2017-01-07,NA,1,7,7,Vic
90771,2017-01-07,NA,1,8,5,Vic
90771,2017-01-07,NA,1,9,7,Vic
90771,2017-01-07,NA,1,10,12,Vic
90771,2017-01-07,NA,1,11,10,Vic
90771,2017-01-07,NA,1,12,7,Vic
90771,2017-01-07,NA,1,13,10,Vic
90771,2017-01-07,NA,1,14,7,Vic
90771,2017-01-07,NA,1,15,6,Vic
90771,2017-01-07,NA,1,16,5,Vic
90771,2017-01-07,NA,1,17,12,Vic
90771,2017-01-07,NA,1,18,7,Vic
90771,2017-01-07,NA,1,19,4,Vic
90771,2017-01-07,NA,1,20,4,Vic
90771,2017-01-07,NA,1,22,8,Vic
90771,2017-01-07,NA,1,23,5,Vic
90771,2017-01-08,NA,1,0,2,Vic
90771,2017-01-08,NA,1,2,2,Vic
90771,2017-01-08,NA,1,5,1,Vic
90771,2017-01-08,NA,1,6,1,Vic
90771,2017-01-08,NA,1,7,2,Vic
90771,2017-01-08,NA,1,8,3,Vic
90771,2017-01-08,NA,1,9,2,Vic
90771,2017-01-08,NA,1,10,1,Vic
90771,2017-01-08,NA,1,11,9,Vic
90771,2017-01-08,NA,1,12,5,Vic
90771,2017-01-08,NA,1,13,6,Vic
90771,2017-01-08,NA,1,14,6,Vic
90771,2017-01-08,NA,1,15,3,Vic
90771,2017-01-08,NA,1,16,14,Vic
90771,2017-01-08,NA,1,17,17,Vic
90771,2017-01-08,NA,1,18,7,Vic
90771,2017-01-08,NA,1,19,2,Vic
90771,2017-01-08,NA,1,20,6,Vic
90771,2017-01-08,NA,1,21,6,Vic
90771,2017-01-08,NA,1,22,4,Vic
90771,2017-01-08,NA,1,23,3,Vic
90771,2017-01-09,NA,1,0,1,Vic
90771,2017-01-09,NA,1,6,5,Vic
90771,2017-01-09,NA,1,7,18,Vic
90771,2017-01-09,NA,1,8,47,Vic
90771,2017-01-09,NA,1,9,11,Vic
90771,2017-01-09,NA,1,10,5,Vic
90771,2017-01-09,NA,1,11,6,Vic
90771,2017-01-09,NA,1,12,12,Vic
90771,2017-01-09,NA,1,13,13,Vic
90771,2017-01-09,NA,1,14,10,Vic
90771,2017-01-09,NA,1,15,15,Vic
90771,2017-01-09,NA,1,16,68,Vic
90771,2017-01-09,NA,1,17,169,Vic
90771,2017-01-09,NA,1,18,84,Vic
90771,2017-01-09,NA,1,19,25,Vic
90771,2017-01-09,NA,1,20,13,Vic
90771,2017-01-09,NA,1,21,16,Vic
90771,2017-01-09,NA,1,22,7,Vic
90771,2017-01-09,NA,1,23,1,Vic
90771,2017-01-10,NA,1,0,1,Vic
90771,2017-01-10,NA,1,2,2,Vic
90771,2017-01-10,NA,1,4,1,Vic
90771,2017-01-10,NA,1,6,9,Vic
90771,2017-01-10,NA,1,7,11,Vic
