siteid,date,pub_hol,sch_hol,hr,nobs,state
8294,2011-01-01,1,1,0,1,WA
8294,2011-01-01,1,1,2,1,WA
8294,2011-01-01,1,1,3,2,WA
8294,2011-01-01,1,1,4,2,WA
8294,2011-01-01,1,1,5,1,WA
8294,2011-01-01,1,1,6,13,WA
8294,2011-01-01,1,1,7,25,WA
8294,2011-01-01,1,1,8,24,WA
8294,2011-01-01,1,1,9,21,WA
8294,2011-01-01,1,1,10,44,WA
8294,2011-01-01,1,1,11,18,WA
8294,2011-01-01,1,1,12,7,WA
8294,2011-01-01,1,1,13,7,WA
8294,2011-01-01,1,1,14,8,WA
8294,2011-01-01,1,1,15,4,WA
8294,2011-01-01,1,1,16,2,WA
8294,2011-01-01,1,1,17,2,WA
8294,2011-01-01,1,1,18,2,WA
8294,2011-01-01,1,1,19,5,WA
8294,2011-01-01,1,1,20,3,WA
8294,2011-01-01,1,1,21,5,WA
8294,2011-01-01,1,1,22,2,WA
8294,2011-01-02,NA,1,2,1,WA
8294,2011-01-02,NA,1,4,1,WA
8294,2011-01-02,NA,1,5,6,WA
8294,2011-01-02,NA,1,6,38,WA
8294,2011-01-02,NA,1,7,38,WA
8294,2011-01-02,NA,1,8,46,WA
8294,2011-01-02,NA,1,9,45,WA
8294,2011-01-02,NA,1,10,23,WA
8294,2011-01-02,NA,1,11,23,WA
8294,2011-01-02,NA,1,12,13,WA
8294,2011-01-02,NA,1,13,7,WA
8294,2011-01-02,NA,1,14,4,WA
8294,2011-01-02,NA,1,16,2,WA
8294,2011-01-02,NA,1,17,3,WA
8294,2011-01-02,NA,1,18,4,WA
8294,2011-01-02,NA,1,19,11,WA
8294,2011-01-02,NA,1,20,2,WA
8294,2011-01-02,NA,1,23,1,WA
8294,2011-01-03,1,1,0,4,WA
8294,2011-01-03,1,1,1,1,WA
8294,2011-01-03,1,1,5,9,WA
8294,2011-01-03,1,1,6,35,WA
8294,2011-01-03,1,1,7,43,WA
8294,2011-01-03,1,1,8,43,WA
8294,2011-01-03,1,1,9,35,WA
8294,2011-01-03,1,1,10,26,WA
8294,2011-01-03,1,1,11,8,WA
8294,2011-01-03,1,1,12,11,WA
8294,2011-01-03,1,1,13,15,WA
8294,2011-01-03,1,1,14,4,WA
8294,2011-01-03,1,1,15,14,WA
8294,2011-01-03,1,1,16,9,WA
8294,2011-01-03,1,1,17,18,WA
8294,2011-01-03,1,1,18,17,WA
8294,2011-01-03,1,1,19,5,WA
8294,2011-01-03,1,1,20,4,WA
8294,2011-01-03,1,1,21,2,WA
8294,2011-01-03,1,1,22,2,WA
8294,2011-01-03,1,1,23,3,WA
8294,2011-01-04,NA,1,0,1,WA
8294,2011-01-04,NA,1,4,2,WA
8294,2011-01-04,NA,1,5,16,WA
8294,2011-01-04,NA,1,6,90,WA
8294,2011-01-04,NA,1,7,172,WA
