siteid,date,pub_hol,sch_hol,hr,nobs,state
8022,2017-01-01,1,1,0,4,WA
8022,2017-01-01,1,1,1,3,WA
8022,2017-01-01,1,1,3,6,WA
8022,2017-01-01,1,1,4,2,WA
8022,2017-01-01,1,1,5,11,WA
8022,2017-01-01,1,1,6,93,WA
8022,2017-01-01,1,1,7,176,WA
8022,2017-01-01,1,1,8,235,WA
8022,2017-01-01,1,1,9,164,WA
8022,2017-01-01,1,1,10,148,WA
8022,2017-01-01,1,1,11,123,WA
8022,2017-01-01,1,1,12,75,WA
8022,2017-01-01,1,1,13,51,WA
8022,2017-01-01,1,1,14,42,WA
8022,2017-01-01,1,1,15,54,WA
8022,2017-01-01,1,1,16,39,WA
8022,2017-01-01,1,1,17,33,WA
8022,2017-01-01,1,1,18,33,WA
8022,2017-01-01,1,1,19,15,WA
8022,2017-01-01,1,1,20,5,WA
8022,2017-01-01,1,1,21,3,WA
8022,2017-01-01,1,1,22,3,WA
8022,2017-01-01,1,1,23,3,WA
8022,2017-01-02,1,1,0,3,WA
8022,2017-01-02,1,1,1,4,WA
8022,2017-01-02,1,1,2,1,WA
8022,2017-01-02,1,1,4,4,WA
8022,2017-01-02,1,1,5,68,WA
8022,2017-01-02,1,1,6,250,WA
8022,2017-01-02,1,1,7,468,WA
8022,2017-01-02,1,1,8,380,WA
8022,2017-01-02,1,1,9,239,WA
8022,2017-01-02,1,1,10,151,WA
8022,2017-01-02,1,1,11,70,WA
8022,2017-01-02,1,1,12,43,WA
8022,2017-01-02,1,1,13,34,WA
8022,2017-01-02,1,1,14,12,WA
8022,2017-01-02,1,1,15,24,WA
8022,2017-01-02,1,1,16,27,WA
8022,2017-01-02,1,1,17,39,WA
8022,2017-01-02,1,1,18,33,WA
8022,2017-01-02,1,1,19,30,WA
8022,2017-01-02,1,1,20,11,WA
8022,2017-01-02,1,1,21,6,WA
8022,2017-01-02,1,1,22,3,WA
8022,2017-01-02,1,1,23,1,WA
8022,2017-01-03,NA,1,0,3,WA
8022,2017-01-03,NA,1,1,3,WA
8022,2017-01-03,NA,1,2,1,WA
8022,2017-01-03,NA,1,4,6,WA
8022,2017-01-03,NA,1,5,108,WA
8022,2017-01-03,NA,1,6,488,WA
8022,2017-01-03,NA,1,7,522,WA
8022,2017-01-03,NA,1,8,301,WA
8022,2017-01-03,NA,1,9,135,WA
8022,2017-01-03,NA,1,10,44,WA
8022,2017-01-03,NA,1,11,21,WA
8022,2017-01-03,NA,1,12,13,WA
8022,2017-01-03,NA,1,13,15,WA
8022,2017-01-03,NA,1,14,17,WA
8022,2017-01-03,NA,1,15,46,WA
8022,2017-01-03,NA,1,16,147,WA
8022,2017-01-03,NA,1,17,217,WA
8022,2017-01-03,NA,1,18,92,WA
8022,2017-01-03,NA,1,19,40,WA
8022,2017-01-03,NA,1,20,12,WA
8022,2017-01-03,NA,1,21,8,WA
8022,2017-01-03,NA,1,22,7,WA
8022,2017-01-03,NA,1,23,2,WA
8022,2017-01-04,NA,1,0,1,WA
8022,2017-01-04,NA,1,1,1,WA
8022,2017-01-04,NA,1,2,1,WA
8022,2017-01-04,NA,1,3,1,WA
8022,2017-01-04,NA,1,4,11,WA
8022,2017-01-04,NA,1,5,109,WA
8022,2017-01-04,NA,1,6,449,WA
8022,2017-01-04,NA,1,7,528,WA
8022,2017-01-04,NA,1,8,230,WA
8022,2017-01-04,NA,1,9,86,WA
8022,2017-01-04,NA,1,10,28,WA
8022,2017-01-04,NA,1,11,18,WA
8022,2017-01-04,NA,1,12,11,WA
8022,2017-01-04,NA,1,13,9,WA
8022,2017-01-04,NA,1,14,18,WA
8022,2017-01-04,NA,1,15,41,WA
8022,2017-01-04,NA,1,16,142,WA
8022,2017-01-04,NA,1,17,215,WA
8022,2017-01-04,NA,1,18,107,WA
8022,2017-01-04,NA,1,19,52,WA
8022,2017-01-04,NA,1,20,11,WA
8022,2017-01-04,NA,1,21,7,WA
8022,2017-01-04,NA,1,22,3,WA
8022,2017-01-04,NA,1,23,4,WA
8022,2017-01-05,NA,1,0,1,WA
8022,2017-01-05,NA,1,1,1,WA
8022,2017-01-05,NA,1,3,2,WA
8022,2017-01-05,NA,1,4,12,WA
8022,2017-01-05,NA,1,5,149,WA
8022,2017-01-05,NA,1,6,544,WA
8022,2017-01-05,NA,1,7,559,WA
8022,2017-01-05,NA,1,8,380,WA
8022,2017-01-05,NA,1,9,187,WA
8022,2017-01-05,NA,1,10,102,WA
8022,2017-01-05,NA,1,11,87,WA
8022,2017-01-05,NA,1,12,73,WA
8022,2017-01-05,NA,1,13,40,WA
8022,2017-01-05,NA,1,14,56,WA
8022,2017-01-05,NA,1,15,92,WA
8022,2017-01-05,NA,1,16,220,WA
8022,2017-01-05,NA,1,17,268,WA
8022,2017-01-05,NA,1,18,103,WA
8022,2017-01-05,NA,1,19,26,WA
8022,2017-01-05,NA,1,20,7,WA
8022,2017-01-05,NA,1,21,4,WA
8022,2017-01-05,NA,1,22,2,WA
8022,2017-01-05,NA,1,23,3,WA
8022,2017-01-06,NA,1,2,2,WA
8022,2017-01-06,NA,1,3,1,WA
8022,2017-01-06,NA,1,4,3,WA
8022,2017-01-06,NA,1,5,105,WA
8022,2017-01-06,NA,1,6,298,WA
8022,2017-01-06,NA,1,7,382,WA
8022,2017-01-06,NA,1,8,216,WA
8022,2017-01-06,NA,1,9,104,WA
8022,2017-01-06,NA,1,10,80,WA
8022,2017-01-06,NA,1,11,74,WA
8022,2017-01-06,NA,1,12,47,WA
8022,2017-01-06,NA,1,13,36,WA
8022,2017-01-06,NA,1,14,39,WA
8022,2017-01-06,NA,1,15,60,WA
8022,2017-01-06,NA,1,16,158,WA
8022,2017-01-06,NA,1,17,180,WA
8022,2017-01-06,NA,1,18,78,WA
8022,2017-01-06,NA,1,19,23,WA
8022,2017-01-06,NA,1,20,2,WA
8022,2017-01-06,NA,1,21,8,WA
8022,2017-01-06,NA,1,22,3,WA
8022,2017-01-06,NA,1,23,5,WA
8022,2017-01-07,NA,1,0,1,WA
8022,2017-01-07,NA,1,1,1,WA
8022,2017-01-07,NA,1,2,1,WA
8022,2017-01-07,NA,1,3,1,WA
8022,2017-01-07,NA,1,4,3,WA
8022,2017-01-07,NA,1,5,112,WA
8022,2017-01-07,NA,1,6,444,WA
8022,2017-01-07,NA,1,7,494,WA
8022,2017-01-07,NA,1,8,439,WA
8022,2017-01-07,NA,1,9,319,WA
8022,2017-01-07,NA,1,10,196,WA
8022,2017-01-07,NA,1,11,187,WA
