siteid,date,pub_hol,sch_hol,hr,nobs,state
8176,2017-04-03,NA,1,10,17,Vic
8176,2017-04-03,NA,1,11,39,Vic
8176,2017-04-03,NA,1,14,49,Vic
8176,2017-04-03,NA,1,15,90,Vic
8176,2017-04-03,NA,1,16,153,Vic
8176,2017-04-03,NA,1,17,376,Vic
8176,2017-04-03,NA,1,18,247,Vic
8176,2017-04-03,NA,1,19,88,Vic
8176,2017-04-03,NA,1,20,40,Vic
8176,2017-04-03,NA,1,21,22,Vic
8176,2017-04-03,NA,1,22,10,Vic
8176,2017-04-03,NA,1,23,5,Vic
8176,2017-04-04,NA,1,0,5,Vic
8176,2017-04-04,NA,1,1,2,Vic
8176,2017-04-04,NA,1,3,1,Vic
8176,2017-04-04,NA,1,4,4,Vic
8176,2017-04-04,NA,1,5,25,Vic
8176,2017-04-04,NA,1,6,78,Vic
8176,2017-04-04,NA,1,7,328,Vic
8176,2017-04-04,NA,1,8,371,Vic
8176,2017-04-04,NA,1,9,120,Vic
8176,2017-04-04,NA,1,10,98,Vic
8176,2017-04-04,NA,1,11,61,Vic
8176,2017-04-04,NA,1,12,88,Vic
8176,2017-04-04,NA,1,13,71,Vic
8176,2017-04-04,NA,1,14,62,Vic
8176,2017-04-04,NA,1,15,89,Vic
8176,2017-04-04,NA,1,16,161,Vic
8176,2017-04-04,NA,1,17,375,Vic
8176,2017-04-04,NA,1,18,276,Vic
8176,2017-04-04,NA,1,19,85,Vic
8176,2017-04-04,NA,1,20,35,Vic
8176,2017-04-04,NA,1,21,23,Vic
8176,2017-04-04,NA,1,22,14,Vic
8176,2017-04-04,NA,1,23,6,Vic
8176,2017-04-05,NA,1,0,3,Vic
8176,2017-04-05,NA,1,1,4,Vic
8176,2017-04-05,NA,1,2,1,Vic
8176,2017-04-05,NA,1,4,2,Vic
8176,2017-04-05,NA,1,5,18,Vic
8176,2017-04-05,NA,1,6,88,Vic
8176,2017-04-05,NA,1,7,295,Vic
8176,2017-04-05,NA,1,8,317,Vic
8176,2017-04-05,NA,1,9,117,Vic
8176,2017-04-05,NA,1,10,76,Vic
8176,2017-04-05,NA,1,11,83,Vic
8176,2017-04-05,NA,1,12,61,Vic
8176,2017-04-05,NA,1,13,75,Vic
8176,2017-04-05,NA,1,14,59,Vic
8176,2017-04-05,NA,1,15,77,Vic
8176,2017-04-05,NA,1,16,159,Vic
8176,2017-04-05,NA,1,17,322,Vic
8176,2017-04-05,NA,1,18,271,Vic
8176,2017-04-05,NA,1,19,94,Vic
8176,2017-04-05,NA,1,20,51,Vic
8176,2017-04-05,NA,1,21,17,Vic
8176,2017-04-05,NA,1,22,15,Vic
8176,2017-04-05,NA,1,23,14,Vic
8176,2017-04-06,NA,1,0,4,Vic
8176,2017-04-06,NA,1,1,1,Vic
8176,2017-04-06,NA,1,2,1,Vic
8176,2017-04-06,NA,1,4,3,Vic
8176,2017-04-06,NA,1,5,21,Vic
8176,2017-04-06,NA,1,6,61,Vic
8176,2017-04-06,NA,1,7,271,Vic
8176,2017-04-06,NA,1,8,351,Vic
8176,2017-04-06,NA,1,9,109,Vic
8176,2017-04-06,NA,1,10,65,Vic
8176,2017-04-06,NA,1,11,67,Vic
8176,2017-04-06,NA,1,12,98,Vic
8176,2017-04-06,NA,1,13,67,Vic
8176,2017-04-06,NA,1,14,56,Vic
8176,2017-04-06,NA,1,15,76,Vic
8176,2017-04-06,NA,1,16,157,Vic
8176,2017-04-06,NA,1,17,350,Vic
8176,2017-04-06,NA,1,18,255,Vic
8176,2017-04-06,NA,1,19,102,Vic
8176,2017-04-06,NA,1,20,44,Vic
8176,2017-04-06,NA,1,21,40,Vic
8176,2017-04-06,NA,1,22,15,Vic
8176,2017-04-06,NA,1,23,15,Vic
8176,2017-04-07,NA,1,0,6,Vic
8176,2017-04-07,NA,1,1,3,Vic
8176,2017-04-07,NA,1,2,4,Vic
8176,2017-04-07,NA,1,3,2,Vic
8176,2017-04-07,NA,1,4,1,Vic
8176,2017-04-07,NA,1,5,19,Vic
8176,2017-04-07,NA,1,6,78,Vic
8176,2017-04-07,NA,1,7,196,Vic
8176,2017-04-07,NA,1,8,319,Vic
8176,2017-04-07,NA,1,9,119,Vic
8176,2017-04-07,NA,1,10,69,Vic
8176,2017-04-07,NA,1,11,108,Vic
8176,2017-04-07,NA,1,12,87,Vic
8176,2017-04-07,NA,1,13,55,Vic
8176,2017-04-07,NA,1,14,63,Vic
8176,2017-04-07,NA,1,15,92,Vic
8176,2017-04-07,NA,1,16,151,Vic
8176,2017-04-07,NA,1,17,280,Vic
8176,2017-04-07,NA,1,18,176,Vic
8176,2017-04-07,NA,1,19,59,Vic
8176,2017-04-07,NA,1,20,36,Vic
8176,2017-04-07,NA,1,21,29,Vic
8176,2017-04-07,NA,1,22,18,Vic
8176,2017-04-07,NA,1,23,16,Vic
8176,2017-04-08,NA,1,0,12,Vic
8176,2017-04-08,NA,1,1,7,Vic
8176,2017-04-08,NA,1,2,5,Vic
8176,2017-04-08,NA,1,3,1,Vic
8176,2017-04-08,NA,1,4,3,Vic
8176,2017-04-08,NA,1,5,3,Vic
8176,2017-04-08,NA,1,6,18,Vic
8176,2017-04-08,NA,1,7,77,Vic
8176,2017-04-08,NA,1,8,97,Vic
8176,2017-04-08,NA,1,9,97,Vic
8176,2017-04-08,NA,1,10,123,Vic
8176,2017-04-08,NA,1,11,145,Vic
8176,2017-04-08,NA,1,12,111,Vic
8176,2017-04-08,NA,1,13,105,Vic
8176,2017-04-08,NA,1,14,94,Vic
8176,2017-04-08,NA,1,15,109,Vic
8176,2017-04-08,NA,1,16,28,Vic
8176,2017-04-08,NA,1,17,20,Vic
8176,2017-04-08,NA,1,18,12,Vic
8176,2017-04-08,NA,1,19,7,Vic
8176,2017-04-08,NA,1,20,5,Vic
8176,2017-04-08,NA,1,21,3,Vic
8176,2017-04-08,NA,1,22,8,Vic
8176,2017-04-08,NA,1,23,4,Vic
8176,2017-04-09,NA,1,0,2,Vic
8176,2017-04-09,NA,1,1,4,Vic
8176,2017-04-09,NA,1,2,1,Vic
8176,2017-04-09,NA,1,5,1,Vic
8176,2017-04-09,NA,1,7,10,Vic
8176,2017-04-09,NA,1,8,30,Vic
8176,2017-04-09,NA,1,9,18,Vic
8176,2017-04-09,NA,1,10,25,Vic
8176,2017-04-09,NA,1,11,19,Vic
8176,2017-04-09,NA,1,12,18,Vic
8176,2017-04-09,NA,1,13,9,Vic
8176,2017-04-09,NA,1,14,4,Vic
8176,2017-04-09,NA,1,15,11,Vic
8176,2017-04-09,NA,1,16,5,Vic
8176,2017-04-09,NA,1,17,10,Vic
8176,2017-04-09,NA,1,18,5,Vic
8176,2017-04-09,NA,1,19,3,Vic
8176,2017-04-09,NA,1,20,2,Vic
8176,2017-04-09,NA,1,21,1,Vic
8176,2017-04-09,NA,1,22,2,Vic
8176,2017-04-10,NA,1,4,1,Vic
8176,2017-04-10,NA,1,5,5,Vic
8176,2017-04-10,NA,1,6,10,Vic
8176,2017-04-10,NA,1,7,64,Vic
8176,2017-04-10,NA,1,8,105,Vic
