siteid,date,pub_hol,sch_hol,hr,nobs,state
51609,2014-10-01,NA,1,1,1,WA
51609,2014-10-01,NA,1,5,6,WA
51609,2014-10-01,NA,1,6,28,WA
51609,2014-10-01,NA,1,7,26,WA
51609,2014-10-01,NA,1,8,20,WA
51609,2014-10-01,NA,1,9,18,WA
51609,2014-10-01,NA,1,10,21,WA
51609,2014-10-01,NA,1,11,19,WA
51609,2014-10-01,NA,1,12,11,WA
51609,2014-10-01,NA,1,14,21,WA
51609,2014-10-01,NA,1,15,9,WA
51609,2014-10-01,NA,1,16,36,WA
51609,2014-10-01,NA,1,17,31,WA
51609,2014-10-01,NA,1,18,17,WA
51609,2014-10-01,NA,1,19,1,WA
51609,2014-10-01,NA,1,20,4,WA
51609,2014-10-01,NA,1,21,2,WA
51609,2014-10-01,NA,1,23,1,WA
51609,2014-10-02,NA,1,1,1,WA
51609,2014-10-02,NA,1,4,1,WA
51609,2014-10-02,NA,1,5,8,WA
51609,2014-10-02,NA,1,6,21,WA
51609,2014-10-02,NA,1,7,23,WA
51609,2014-10-02,NA,1,8,1,WA
51609,2014-10-02,NA,1,9,16,WA
51609,2014-10-02,NA,1,10,9,WA
51609,2014-10-02,NA,1,11,25,WA
51609,2014-10-02,NA,1,12,20,WA
51609,2014-10-02,NA,1,13,9,WA
51609,2014-10-02,NA,1,14,11,WA
51609,2014-10-02,NA,1,15,21,WA
51609,2014-10-02,NA,1,16,17,WA
51609,2014-10-02,NA,1,17,29,WA
51609,2014-10-02,NA,1,18,14,WA
51609,2014-10-02,NA,1,19,2,WA
51609,2014-10-02,NA,1,22,2,WA
51609,2014-10-03,NA,1,0,1,WA
51609,2014-10-03,NA,1,1,1,WA
51609,2014-10-03,NA,1,5,2,WA
51609,2014-10-03,NA,1,6,19,WA
51609,2014-10-03,NA,1,7,38,WA
51609,2014-10-03,NA,1,8,19,WA
51609,2014-10-03,NA,1,9,18,WA
51609,2014-10-03,NA,1,10,24,WA
51609,2014-10-03,NA,1,11,19,WA
51609,2014-10-03,NA,1,12,17,WA
51609,2014-10-03,NA,1,13,12,WA
51609,2014-10-03,NA,1,14,10,WA
51609,2014-10-03,NA,1,15,11,WA
51609,2014-10-03,NA,1,16,23,WA
51609,2014-10-03,NA,1,17,23,WA
51609,2014-10-03,NA,1,18,19,WA
51609,2014-10-03,NA,1,19,3,WA
51609,2014-10-03,NA,1,20,1,WA
51609,2014-10-03,NA,1,23,1,WA
51609,2014-10-04,NA,1,1,1,WA
51609,2014-10-04,NA,1,5,3,WA
51609,2014-10-04,NA,1,6,22,WA
51609,2014-10-04,NA,1,7,56,WA
51609,2014-10-04,NA,1,8,36,WA
51609,2014-10-04,NA,1,9,61,WA
51609,2014-10-04,NA,1,10,49,WA
51609,2014-10-04,NA,1,11,58,WA
51609,2014-10-04,NA,1,12,38,WA
51609,2014-10-04,NA,1,13,26,WA
51609,2014-10-04,NA,1,14,44,WA
51609,2014-10-04,NA,1,15,52,WA
51609,2014-10-04,NA,1,16,24,WA
51609,2014-10-04,NA,1,17,34,WA
51609,2014-10-04,NA,1,18,19,WA
51609,2014-10-04,NA,1,19,4,WA
51609,2014-10-04,NA,1,21,1,WA
51609,2014-10-05,NA,1,5,3,WA
51609,2014-10-05,NA,1,6,1,WA
51609,2014-10-05,NA,1,7,6,WA
51609,2014-10-05,NA,1,8,17,WA
51609,2014-10-05,NA,1,9,21,WA
51609,2014-10-05,NA,1,10,6,WA
51609,2014-10-05,NA,1,11,6,WA
51609,2014-10-05,NA,1,13,1,WA
51609,2014-10-05,NA,1,14,1,WA
51609,2014-10-05,NA,1,15,5,WA
51609,2014-10-05,NA,1,16,9,WA
51609,2014-10-05,NA,1,17,8,WA
51609,2014-10-05,NA,1,18,1,WA
51609,2014-10-05,NA,1,20,1,WA
51609,2014-10-05,NA,1,21,2,WA
51609,2014-10-05,NA,1,22,1,WA
51609,2014-10-06,NA,1,4,1,WA
51609,2014-10-06,NA,1,5,4,WA
51609,2014-10-06,NA,1,6,14,WA
51609,2014-10-06,NA,1,7,22,WA
51609,2014-10-06,NA,1,8,17,WA
51609,2014-10-06,NA,1,9,20,WA
51609,2014-10-06,NA,1,10,26,WA
51609,2014-10-06,NA,1,11,8,WA
51609,2014-10-06,NA,1,12,14,WA
51609,2014-10-06,NA,1,13,11,WA
51609,2014-10-06,NA,1,14,12,WA
51609,2014-10-06,NA,1,15,19,WA
51609,2014-10-06,NA,1,16,20,WA
51609,2014-10-06,NA,1,17,53,WA
51609,2014-10-06,NA,1,18,24,WA
51609,2014-10-06,NA,1,19,5,WA
51609,2014-10-06,NA,1,20,2,WA
51609,2014-10-06,NA,1,21,1,WA
51609,2014-10-06,NA,1,22,2,WA
51609,2014-10-06,NA,1,23,3,WA
51609,2014-10-07,NA,1,0,2,WA
51609,2014-10-07,NA,1,1,2,WA
51609,2014-10-07,NA,1,5,5,WA
51609,2014-10-07,NA,1,6,31,WA
