siteid,date,pub_hol,sch_hol,hr,nobs,state
104862,2014-12-24,NA,1,14,8,Vic
104862,2014-12-24,NA,1,15,24,Vic
104862,2014-12-24,NA,1,16,24,Vic
104862,2014-12-24,NA,1,17,12,Vic
104862,2014-12-24,NA,1,18,12,Vic
104862,2014-12-24,NA,1,19,11,Vic
104862,2014-12-24,NA,1,20,11,Vic
104862,2014-12-24,NA,1,21,8,Vic
104862,2014-12-24,NA,1,22,12,Vic
104862,2014-12-24,NA,1,23,4,Vic
104862,2014-12-25,NA,1,0,2,Vic
104862,2014-12-25,NA,1,2,2,Vic
104862,2014-12-25,NA,1,3,1,Vic
104862,2014-12-25,NA,1,4,1,Vic
104862,2014-12-25,NA,1,6,15,Vic
104862,2014-12-25,NA,1,7,8,Vic
104862,2014-12-25,NA,1,8,8,Vic
104862,2014-12-25,NA,1,9,15,Vic
104862,2014-12-25,NA,1,10,15,Vic
104862,2014-12-25,NA,1,11,16,Vic
104862,2014-12-25,NA,1,12,9,Vic
104862,2014-12-25,NA,1,13,11,Vic
104862,2014-12-25,NA,1,14,6,Vic
104862,2014-12-25,NA,1,15,8,Vic
104862,2014-12-25,NA,1,16,7,Vic
104862,2014-12-25,NA,1,17,8,Vic
104862,2014-12-25,NA,1,18,7,Vic
104862,2014-12-25,NA,1,19,3,Vic
104862,2014-12-25,NA,1,20,9,Vic
104862,2014-12-25,NA,1,21,3,Vic
104862,2014-12-25,NA,1,22,8,Vic
104862,2014-12-26,NA,1,4,1,Vic
104862,2014-12-26,NA,1,5,4,Vic
104862,2014-12-26,NA,1,6,11,Vic
104862,2014-12-26,NA,1,7,19,Vic
104862,2014-12-26,NA,1,8,24,Vic
104862,2014-12-26,NA,1,9,28,Vic
104862,2014-12-26,NA,1,10,24,Vic
104862,2014-12-26,NA,1,11,25,Vic
104862,2014-12-26,NA,1,12,25,Vic
104862,2014-12-26,NA,1,13,23,Vic
104862,2014-12-26,NA,1,14,15,Vic
104862,2014-12-26,NA,1,15,17,Vic
104862,2014-12-26,NA,1,16,18,Vic
104862,2014-12-26,NA,1,17,9,Vic
104862,2014-12-26,NA,1,18,16,Vic
104862,2014-12-26,NA,1,19,10,Vic
104862,2014-12-26,NA,1,20,7,Vic
104862,2014-12-26,NA,1,21,4,Vic
104862,2014-12-26,NA,1,22,6,Vic
104862,2014-12-26,NA,1,23,2,Vic
104862,2014-12-27,NA,1,0,2,Vic
104862,2014-12-27,NA,1,2,1,Vic
104862,2014-12-27,NA,1,4,2,Vic
104862,2014-12-27,NA,1,5,4,Vic
104862,2014-12-27,NA,1,6,25,Vic
104862,2014-12-27,NA,1,7,32,Vic
104862,2014-12-27,NA,1,8,36,Vic
104862,2014-12-27,NA,1,9,39,Vic
104862,2014-12-27,NA,1,10,38,Vic
104862,2014-12-27,NA,1,11,30,Vic
104862,2014-12-27,NA,1,12,33,Vic
104862,2014-12-27,NA,1,13,33,Vic
104862,2014-12-27,NA,1,14,33,Vic
104862,2014-12-27,NA,1,15,23,Vic
104862,2014-12-27,NA,1,16,26,Vic
104862,2014-12-27,NA,1,17,25,Vic
104862,2014-12-27,NA,1,18,13,Vic
104862,2014-12-27,NA,1,19,10,Vic
104862,2014-12-27,NA,1,20,9,Vic
104862,2014-12-27,NA,1,21,2,Vic
104862,2014-12-27,NA,1,22,6,Vic
104862,2014-12-27,NA,1,23,5,Vic
104862,2014-12-28,NA,1,0,2,Vic
104862,2014-12-28,NA,1,1,1,Vic
104862,2014-12-28,NA,1,2,2,Vic
104862,2014-12-28,NA,1,4,2,Vic
104862,2014-12-28,NA,1,5,4,Vic
104862,2014-12-28,NA,1,6,23,Vic
104862,2014-12-28,NA,1,7,21,Vic
104862,2014-12-28,NA,1,8,22,Vic
104862,2014-12-28,NA,1,9,41,Vic
104862,2014-12-28,NA,1,10,38,Vic
104862,2014-12-28,NA,1,11,25,Vic
104862,2014-12-28,NA,1,12,47,Vic
104862,2014-12-28,NA,1,13,24,Vic
104862,2014-12-28,NA,1,14,27,Vic
104862,2014-12-28,NA,1,15,14,Vic
104862,2014-12-28,NA,1,16,18,Vic
104862,2014-12-28,NA,1,17,7,Vic
104862,2014-12-28,NA,1,18,8,Vic
104862,2014-12-28,NA,1,19,5,Vic
104862,2014-12-28,NA,1,20,12,Vic
104862,2014-12-28,NA,1,21,1,Vic
104862,2014-12-28,NA,1,22,5,Vic
104862,2014-12-28,NA,1,23,2,Vic
104862,2014-12-29,NA,1,0,2,Vic
104862,2014-12-29,NA,1,1,1,Vic
104862,2014-12-29,NA,1,3,1,Vic
104862,2014-12-29,NA,1,5,7,Vic
104862,2014-12-29,NA,1,6,38,Vic
104862,2014-12-29,NA,1,7,87,Vic
104862,2014-12-29,NA,1,8,107,Vic
104862,2014-12-29,NA,1,9,65,Vic
104862,2014-12-29,NA,1,10,32,Vic
104862,2014-12-29,NA,1,11,44,Vic
104862,2014-12-29,NA,1,12,31,Vic
104862,2014-12-29,NA,1,13,7,Vic
104862,2014-12-29,NA,1,14,9,Vic
104862,2014-12-29,NA,1,15,14,Vic
104862,2014-12-29,NA,1,16,10,Vic
104862,2014-12-29,NA,1,17,11,Vic
